Image,Avg_N_Score,Image1_Age,Emotion_Similarity,label
9368_GregoryPeck_63_m.jpg,0.6,63,0.19,1
3056_BillNighy_59_m.jpg,0.48,59,0.23,1
14964_AmandaBlake_40_f.jpg,0.49,40,0.32,1
1214_MendeleievDmitri_65_m.jpg,0.37,65,0.18,0
6034_RafVallone_40_m.jpg,0.43,40,0.37,1
10001_GoldieHawn_23_f.jpg,0.49,23,0.36,1
10833_RaquelWelch_32_f.jpg,0.4,32,0.56,0
6772_RockHudson_53_m.jpg,0.49,53,0.36,1
4074_ClintWalker_60_m.jpg,0.51,60,0.25,1
7051_DavidNiven_73_m.jpg,0.42,73,0.14,1
9511_CHARLIERUGGLES_51_m.jpg,0.44,51,0.13,1
3137_DannyDeVito_31_m.jpg,0.43,31,0.17,1
14436_OliviadeHavilland_42_f.jpg,0.41,42,0.64,1
16164_SidneyPoitier_62_m.jpg,0.45,62,0.31,1
13130_JaneRussell_67_f.jpg,0.62,67,0.07,1
231_TheodorakisMikis_57_m.jpg,0.39,57,0.04,0
10630_LindaEvans_64_f.jpg,0.52,64,0.1,1
14001_GloriaSwanson_50_f.jpg,0.45,50,0.41,1
14553_AudreyHepburn_38_f.jpg,0.41,38,0.29,1
8233_RandolphScott_58_m.jpg,0.54,58,0.22,1
4077_ClintWalker_71_m.jpg,0.46,71,0.25,1
3639_OmarSharif_30_m.jpg,0.43,30,0.25,1
3097_BruceWillis_57_m.jpg,0.43,57,0.29,1
15452_JanetEllis_55_f.jpg,0.51,55,0.75,1
3508_MarisaPavan_61_m.jpg,0.57,61,0.5,1
15522_JulieBishop_19_f.jpg,0.46,19,0.52,1
1066_EnricoFermi_50_m.jpg,0.34,50,0.42,0
8117_LeslieNielsen_62_m.jpg,0.42,62,0.17,1
11391_ZsaZsaGabor_80_f.jpg,0.41,80,0.49,1
13332_AvaGardner_58_f.jpg,0.47,58,0.28,1
14573_JenniferJones_24_f.jpg,0.38,24,0.48,0
9480_MaximilianShell_49_m.jpg,0.49,49,0.12,1
10580_KathrynHays_70_f.jpg,0.5,70,0.5,1
14042_JudyGarland_23_f.jpg,0.51,23,0.38,1
5980_JeanMarais_77_m.jpg,0.51,77,0.29,1
14061_JudyHolliday_17_f.jpg,0.57,17,0.57,1
1511_YannisRitsos_63_m.jpg,0.55,63,0,1
13320_AvaGardner_13_f.jpg,0.7,13,0.28,1
1485_CarlMarx_55_m.jpg,0.34,55,0.17,0
14748_MarleneDietrich_72_f.jpg,0.41,72,0.45,1
12312_MelindaDillion_43_f.jpg,0.57,43,0.16,1
15242_DebraPaget_73_f.jpg,0.51,73,0,1
5229_DavidMcCallum_42_m.jpg,0.51,42,0.34,1
14667_ClaudetteColbert_31_f.jpg,0.39,31,0.16,0
13442_DanielleDarrieux_72_f.jpg,0.61,72,0.41,1
15677_KathrynGrayson_33_f.jpg,0.44,33,0.53,1
12722_JanetLeigh_53_f.jpg,0.53,53,0.27,1
9892_RoseMarie_30_f.jpg,0.6,30,0.11,1
13841_VanessaRedgrave_77_f.jpg,0.49,77,0.15,1
1453_RabindranathTagore_63_m.jpg,0.56,63,0.46,1
7564_RobertRyan_36_m.jpg,0.37,36,0.26,0
3310_JackColeman_49_m.jpg,0.48,49,0,1
333_LarryEllison_46_m.jpg,0.37,46,0.36,0
3682_RingoStarr_24_m.jpg,0.54,24,0.54,1
8324_RichardCrenna_38_m.jpg,0.5,38,0.38,1
1802_TomHulce_29_m.jpg,0.49,29,0.25,1
12666_IsabelleHuppert_51_f.jpg,0.6,51,0.2,1
5107_AnthonyHopkins_65_m.jpg,0.4,65,0.36,0
11858_BarbaraBouchet_38_f.jpg,0.53,38,0.28,1
9378_GregoryPeck_36_m.jpg,0.5,36,0.24,1
12732_JenniferAniston_15_f.jpg,0.54,15,0.26,1
14509_SusanHayward_22_f.jpg,0.34,22,0.38,0
5800_BenGazzara_81_m.jpg,0.38,81,0.37,0
11434_CyndiLauper_34_f.jpg,0.57,34,0.09,1
10981_DonnaDouglas_40_f.jpg,0.45,40,0.75,1
3891_TomasMilian_31_m.jpg,0.64,31,0.22,1
6351_JamesArness_50_m.jpg,0.46,50,0.37,1
117_MickJagger_68_m.jpg,0.45,68,0.2,1
14660_BarbaraStanwyck_62_f.jpg,0.5,62,0.18,1
2920_ScottGlenn_40_m.jpg,0.49,40,0.4,1
15612_KateOMara_57_f.jpg,0.42,57,0.29,1
10430_BarbaraBain_72_f.jpg,0.47,72,0.32,1
8534_CharlieChaplin_25_m.jpg,0.53,25,0.2,1
7712_VincentPrice_30_m.jpg,0.43,30,0.09,1
401_SteveJobsb_32_m.jpg,0.47,32,0.38,1
2152_MelGibson_41_m.jpg,0.4,41,0.22,0
704_ElVenizelos_69_m.jpg,0.5,69,0.07,1
5240_DavidMcCallum_51_m.jpg,0.5,51,0.24,1
5384_JohnMalkovich_48_m.jpg,0.48,48,0.42,1
13594_JeanPeters_32_f.jpg,0.38,32,0.45,0
14752_ShelleyWinters_45_f.jpg,0.44,45,0.27,1
9324_GeorgeMontgomery_47_m.jpg,0.58,47,0.04,1
7611_TellySavalas_40_m.jpg,0.49,40,0,1
9067_JeanClaudeVanDamme_52_m.jpg,0.51,52,0.05,1
15815_StefaniePowers_24_f.jpg,0.45,24,0.3,1
7707_VincentPrice_27_m.jpg,0.5,27,0.37,1
15514_JeanetteMacDonald_59_f.jpg,0.43,59,0.6,1
4789_PierceBrosnan_33_m.jpg,0.4,33,0.39,0
8910_ErnestBorgnine_38_m.jpg,0.43,38,0.5,1
14408_MaryPickford_60_f.jpg,0.49,60,0.3,1
11821_AnjelicaHuston_45_f.jpg,0.38,45,0.43,0
6833_StevenSpielberg_53_m.jpg,0.38,53,0.55,0
14483_PeggyAshcroft_81_f.jpg,0.52,81,0.15,1
5023_WarrenBeatty_75_m.jpg,0.46,75,0.29,1
10259_LivUllmann_51_f.jpg,0.71,51,0.07,1
3831_StacyKeach_69_m.jpg,0.51,69,0.39,1
1535_Bono_30_m.jpg,0.47,30,0.33,1
14021_GreerGarson_48_f.jpg,0.43,48,0.35,1
12515_AnneBaxter_51_f.jpg,0.52,51,0.07,1
5447_MartinScorsese_34_m.jpg,0.46,34,0.13,1
5793_BenGazzara_74_m.jpg,0.42,74,0.37,1
12960_CatherineDeneuve_49_f.jpg,0.42,49,0.05,1
16340_Dee_41_f.jpg,0.45,41,0.33,1
218_ElvisPresley_33_m.jpg,0.4,33,0.18,0
6527_KlausKinski_38_m.jpg,0.48,38,0.21,1
129_MickJagger_23_m.jpg,0.48,23,0.2,1
5124_ArmandAssante_34_m.jpg,0.43,34,0.24,1
12655_IsabelleHuppert_35_f.jpg,0.67,35,0.23,1
10810_PeggyLipton_46_f.jpg,0.39,46,0.29,0
3765_RutgerHauer_46_m.jpg,0.54,46,0.32,1
6544_KlausKinski_61_m.jpg,0.46,61,0.31,1
10252_LivUllmann_37_f.jpg,0.45,37,0.3,1
6521_KlausKinski_29_m.jpg,0.51,29,0.21,1
9386_SteveMcQueen_30_m.jpg,0.4,30,0.19,0
10410_BarbaraBain_40_f.jpg,0.44,40,0.03,1
12851_MylКneDemongeot_28_f.jpg,0.61,28,0,1
2944_ScottGlenn_65_m.jpg,0.44,65,0.05,1
3501_MarisaPavan_43_m.jpg,0.46,43,0.12,1
5860_HerbertLom_54_m.jpg,0.55,54,0.48,1
7010_ChristopherWalken_48_m.jpg,0.36,48,0.17,0
13013_GeraldineChaplin_23_f.jpg,0.46,23,0.42,1
4103_DickVanDyke_50_m.jpg,0.58,50,0.46,1
14857_BernadetteLafont_19_f.jpg,0.6,19,0.23,1
10654_LuiseRainer_85_f.jpg,0.5,85,0.36,1
13444_DanielleDarrieux_77_f.jpg,0.5,77,0.41,1
16202_BillCosby_73_m.jpg,0.47,73,0.07,1
9509_CHARLIERUGGLES_81_m.jpg,0.46,81,0.43,1
2612_JamesWoods_38_m.jpg,0.32,38,0.3,0
2363_AlainDelon_75_m.jpg,0.54,75,0,1
10659_LuiseRainer_27_f.jpg,0.45,27,0.08,1
8792_AnthonyPerkins_34_m.jpg,0.55,34,0.08,1
13026_GeraldineChaplin_32_f.jpg,0.43,32,0.42,1
4764_MichelPiccoli_57_m.jpg,0.42,57,0.32,1
14464_PeggyAshcroft_61_f.jpg,0.61,61,0.23,1
12209_ImeldaStaunton_51_f.jpg,0.46,51,0.15,1
13552_HelenHayes_70_f.jpg,0.4,70,0.47,0
9601_MarcelloMastroianni_63_m.jpg,0.42,63,0.11,1
10804_PeggyLipton_32_f.jpg,0.41,32,0.29,1
12377_MyrnaLoy_35_f.jpg,0.57,35,0.04,1
12809_MaryTylerMoore_25_f.jpg,0.45,25,0,1
12781_MargaretOBrien_7_f.jpg,0.45,7,0.5,1
15093_BonnieHunt_37_f.jpg,0.63,37,0.76,1
12275_JoanneWoodward_44_f.jpg,0.42,44,0.24,1
8648_JamesStewart_51_m.jpg,0.4,51,0.1,0
2013_JamesCaan_63_m.jpg,0.55,63,0.24,1
4526_DustinHoffman_36_m.jpg,0.44,36,0.08,1
4303_KirkDouglas_16_m.jpg,0.51,16,0.44,1
5600_PeterFalk_46_m.jpg,0.46,46,0.32,1
15836_StefaniePowers_63_f.jpg,0.43,63,0.51,1
9587_MarcelloMastroianni_46_m.jpg,0.4,46,0.38,0
9136_MichaelSarrazin_34_m.jpg,0.54,34,0.04,1
16196_BillCosby_77_m.jpg,0.4,77,0.52,0
9276_BurtLancaster_42_m.jpg,0.44,42,0.06,1
8078_JohnForsythe_55_m.jpg,0.55,55,0.15,1
794_akistsoxatzopoulos_25_m.jpg,0.64,25,0.23,1
12289_LauraAntonelli_41_f.jpg,0.37,41,0.48,0
15756_PamelaSueMartin_23_f.jpg,0.47,23,0.37,1
8427_VictorMature_61_m.jpg,0.48,61,0.3,1
20_MariaCallas_42_f.jpg,0.42,42,0.17,1
4716_KostasVoutsas_60_m.jpg,0.46,60,0.33,1
2500_DonJohnson_22_m.jpg,0.52,22,0,1
5461_MartinScorsese_60_m.jpg,0.48,60,0.16,1
1379_OdysseasElytis_43_m.jpg,0.5,43,0.13,1
898_AndreasPapantreou_74_m.jpg,0.48,74,0.21,1
6155_DanaAndrews_50_m.jpg,0.5,50,0.32,1
5422_KennethBranagh_25_m.jpg,0.56,25,0.04,1
3261_IanMcKellen_24_m.jpg,0.43,24,0.32,1
11878_BarbaraBouchet_70_f.jpg,0.44,70,0.4,1
5032_AnthonyAndrews_27_m.jpg,0.46,27,0.34,1
7701_UgoTognazzi_60_m.jpg,0.46,60,0.39,1
9110_MarlonBrando_5_m.jpg,0.66,5,0.5,1
11778_TildaSwinton_49_f.jpg,0.28,49,0.37,0
5472_MartinScorsese_50_m.jpg,0.53,50,0.16,1
5668_RayDanton_38_m.jpg,0.41,38,0.14,1
14125_SusannahYork_42_f.jpg,0.36,42,0.5,0
11156_LizaMinelli_29_f.jpg,0.64,29,0.3,1
322_MichaelBloomberg_70_m.jpg,0.39,70,0.13,0
4235_HelmutBerger_61_m.jpg,0.58,61,0,1
15604_KateOMara_48_f.jpg,0.39,48,0.46,0
4064_ClintWalker_41_m.jpg,0.46,41,0.19,1
7222_JosephCotten_50_m.jpg,0.54,50,0.03,1
9144_MichaelSarrazin_48_m.jpg,0.45,48,0.42,1
905_AndreasPapantreou_72_m.jpg,0.4,72,0.21,0
14126_SusannahYork_45_f.jpg,0.43,45,0.17,1
12504_AnneBaxter_35_f.jpg,0.62,35,0.4,1
12777_KathleenTurner_56_f.jpg,0.32,56,0.18,0
5186_CharlesGrodin_43_m.jpg,0.49,43,0.04,1
15179_CydCharisse_30_f.jpg,0.61,30,0.06,1
4642_JamesGarner_79_m.jpg,0.45,79,0.41,1
4949_StevenBerkoff_71_m.jpg,0.38,71,0.23,0
6460_JohnVernon_50_m.jpg,0.48,50,0.22,1
7720_VincentPrice_42_m.jpg,0.42,42,0.37,1
11653_MireilleDarc_23_f.jpg,0.63,23,0.39,1
14169_EstherWilliams_63_f.jpg,0.31,63,0.88,0
1883_AlanYoung_42_m.jpg,0.43,42,0.65,1
12061_ElsaMartinelli_29_f.jpg,0.49,29,0.03,1
2342_AbeVigoda_69_m.jpg,0.32,69,0.24,0
11396_ZsaZsaGabor_94_f.jpg,0.58,94,0.49,1
11916_BeaArthur_83_f.jpg,0.59,83,0.41,1
9452_EdwardGRobinson_63_m.jpg,0.43,63,0.43,1
9912_AliMacGraw_25_f.jpg,0.47,25,0.36,1
11550_LaurenBacall_73_f.jpg,0.51,73,0.17,1
2042_JohnJames_50_m.jpg,0.39,50,0.31,0
5694_RoyRogers_30_m.jpg,0.36,30,0.6,0
7545_RobertMorley_75_m.jpg,0.54,75,0.18,1
11061_JeanneMoreau_44_f.jpg,0.62,44,0.24,1
5234_DavidMcCallum_67_m.jpg,0.38,67,0.24,0
1386_OdysseasElytis_70_m.jpg,0.43,70,0.13,1
2599_GeneWilder_75_m.jpg,0.36,75,0.2,0
1445_FriedrichNietzsche_32_m.jpg,0.44,32,0.16,1
12995_ClaudiaCardinale_46_f.jpg,0.63,46,0.17,1
10678_LuiseRainer_27_f.jpg,0.48,27,0.36,1
3023_AlanRickman_57_m.jpg,0.45,57,0.41,1
1146_GalileoGalilei_74_m.jpg,0.35,74,0.14,0
7187_JohnWayne_34_m.jpg,0.42,34,0.25,1
10647_LuiseRainer_50_f.jpg,0.49,50,0.36,1
7425_MickeyRooney_49_m.jpg,0.48,49,0.36,1
293_HatzidakisManos_47_m.jpg,0.35,47,0.21,0
11837_AnjelicaHuston_62_f.jpg,0.47,62,0.43,1
13309_SigourneyWeaver_52_f.jpg,0.33,52,0.67,0
6492_JohnnyCash_58_m.jpg,0.47,58,0.55,1
2708_KevinBacon_26_m.jpg,0.36,26,0.17,0
9876_LauraDern_21_f.jpg,0.47,21,0,1
3769_RutgerHauer_53_m.jpg,0.46,53,0.36,1
5761_BenGazzara_22_m.jpg,0.47,22,0,1
2900_SamElliott_60_m.jpg,0.58,60,0.18,1
6970_CharlesBoyer_56_m.jpg,0.53,56,0.29,1
7980_GiulianoGemma_27_m.jpg,0.5,27,0.25,1
5338_JohnDerek_19_m.jpg,0.5,19,0.15,1
9714_DorisDay_28_f.jpg,0.44,28,0.79,1
2470_ClaudeRich_49_m.jpg,0.46,49,0.23,1
7592_SylvesterStallone_41_m.jpg,0.58,41,0.08,1
11943_CatherineSpaak_65_f.jpg,0.48,65,0.5,1
16208_RichardPryor_47_m.jpg,0.56,47,0.1,1
11490_JulieAndrews_66_f.jpg,0.44,66,0.55,1
2102_MelBrooks_49_m.jpg,0.41,49,0.07,1
2210_NickNolte_62_m.jpg,0.47,62,0.36,1
1152_FrederickSanger_31_m.jpg,0.44,31,0.6,1
7532_RobertMorley_41_m.jpg,0.43,41,0.42,1
7118_GladysCooper_62_m.jpg,0.52,62,0.33,1
6228_DirkBogarde_28_m.jpg,0.46,28,0.46,1
4134_GenaRowlands_39_m.jpg,0.72,39,0.12,1
12750_JenniferAniston_36_f.jpg,0.48,36,0.43,1
9539_RicardoMontalbаn_32_m.jpg,0.59,32,0,1
4061_ClintWalker_38_m.jpg,0.48,38,0.25,1
144_PaulmcCartney_70_m.jpg,0.43,70,0.04,1
3841_SteveKanaly_31_m.jpg,0.43,31,0.37,1
11125_JuneLockhart_41_f.jpg,0.5,41,0.17,1
13182_JoanLorring_43_f.jpg,0.52,43,0.52,1
15048_BettyGarrett_32_f.jpg,0.47,32,0.85,1
7768_AlbertoSordi_52_m.jpg,0.43,52,0.29,1
10416_BarbaraBain_49_f.jpg,0.46,49,0.19,1
4639_JamesGarner_41_m.jpg,0.49,41,0.41,1
7904_GeorgePeppard_27_m.jpg,0.46,27,0.29,1
14024_GreerGarson_41_f.jpg,0.38,41,0.38,0
10172_JoanLeslie_28_f.jpg,0.4,28,0.41,0
14491_SusanHayward_25_f.jpg,0.39,25,0.07,0
14586_JenniferJones_24_f.jpg,0.36,24,0.41,0
1904_EdwardFox_30_m.jpg,0.54,30,0.17,1
1925_EdwardFox_54_m.jpg,0.52,54,0.28,1
13280_AmandaRedman_38_f.jpg,0.38,38,0.27,0
8491_AlejandroRey_32_m.jpg,0.46,32,0.22,1
11186_MonicaVitti_33_f.jpg,0.43,33,0.14,1
16351_Dench_66_f.jpg,0.51,66,0.05,1
15229_DebraPaget_27_f.jpg,0.4,27,0.44,0
11474_JulieAndrews_26_f.jpg,0.5,26,0.55,1
8893_ChristopherEccleston_36_m.jpg,0.41,36,0.15,1
14417_MaryPickford_26_f.jpg,0.45,26,0.06,1
15245_DebraPaget_79_f.jpg,0.59,79,0.44,1
2931_ScottGlenn_50_m.jpg,0.46,50,0.17,1
4855_RogerMoore_40_m.jpg,0.51,40,0.38,1
12141_FrancescaAnnis_34_f.jpg,0.49,34,0.39,1
6688_PeterGraves_57_m.jpg,0.44,57,0.15,1
16071_WillSmith_37_m.jpg,0.39,37,0.76,0
12973_CatherineDeneuve_68_f.jpg,0.42,68,0.22,1
6499_JohnnyCash_37_m.jpg,0.4,37,0.55,0
9669_MegRyan_22_f.jpg,0.45,22,0.18,1
9162_PeterSellers_39_m.jpg,0.43,39,0.36,1
1465_RabindranathTagore_51_m.jpg,0.48,51,0.25,1
8450_WalterPidgeon_57_m.jpg,0.45,57,0.07,1
4560_Fernandel_42_m.jpg,0.45,42,0.16,1
10383_AnnMargret_36_f.jpg,0.47,36,0.48,1
14893_BernadetteLafont_69_f.jpg,0.54,69,0.26,1
10077_JaneBirkin_32_f.jpg,0.51,32,0.42,1
7083_Garycooper_34_m.jpg,0.44,34,0.42,1
4685_JohnTravolta_20_m.jpg,0.42,20,0.48,1
5248_DavidMcCallum_77_m.jpg,0.41,77,0.07,1
1924_EdwardFox_53_m.jpg,0.52,53,0.28,1
7430_MickeyRooney_61_m.jpg,0.5,61,0.11,1
9548_RicardoMontalbаn_51_m.jpg,0.49,51,0,1
5313_JackLemon_35_m.jpg,0.64,35,0.69,1
15353_ErinGray_48_f.jpg,0.34,48,0.19,0
9795_JaneAsher_15_f.jpg,0.54,15,0.33,1
418_LelandStanford_26_m.jpg,0.55,26,0.2,1
14013_GreerGarson_43_f.jpg,0.42,43,0.38,1
9711_DorisDay_20_f.jpg,0.46,20,0.79,1
15169_ConnieBooth_58_f.jpg,0.51,58,0.33,1
