Image,MS,Adj_MS,Emotion_Similarity,label
13836_VanessaRedgrave_72_f.jpg,0.53,0.48,0.38,1
5193_CharlesGrodin_55_m.jpg,0.51,0.46,0.17,1
6292_ErrolFlynn_38_m.jpg,0.54,0.4,0.32,1
7198_JohnWayne_67_m.jpg,0.48,0.39,0.38,0
12092_EvaMarieSaint_30_f.jpg,0.48,0.38,0.63,0
14662_ClaudetteColbert_72_f.jpg,0.62,0.21,0.35,1
10546_JoanCollins_56_f.jpg,0.54,0.47,0.09,1
2543_GaryOldman_29_m.jpg,0.47,0.36,0.29,0
714_ElVenizelos_68_m.jpg,0.51,0.46,0.33,1
12862_MylКneDemongeot_46_f.jpg,0.53,0.45,0.0,1
8258_ReginaldOwen_66_m.jpg,0.49,0.45,0.33,0
7254_KrisKristofferson_52_m.jpg,0.43,0.38,0.25,0
3922_TommySands_22_m.jpg,0.5,0.39,0.55,0
10287_MarietteHartley_41_f.jpg,0.6,0.5,0.28,1
10643_LuiseRainer_45_f.jpg,0.53,0.34,0.03,1
4267_KevinCostner_36_m.jpg,0.52,0.43,0.19,1
7944_GilbertRoland_28_m.jpg,0.63,0.48,0.11,1
14075_JudyHolliday_29_f.jpg,0.54,0.39,0.57,1
3446_LeslieCaron_25_m.jpg,0.33,0.27,0.36,0
14635_BarbaraStanwyck_25_f.jpg,0.57,0.43,0.53,1
3813_StacyKeach_46_m.jpg,0.56,0.48,0.39,1
660_TonyBlair_47_m.jpg,0.62,0.46,0.0,1
10646_LuiseRainer_27_f.jpg,0.54,0.41,0.22,1
10936_DaliahLavi_21_f.jpg,0.42,0.33,0.41,0
4121_DickVanDyke_86_m.jpg,0.5,0.52,0.46,0
15882_StВphaneAudran_56_f.jpg,0.46,0.39,0.0,0
12559_AlikiBoug_35_f.jpg,0.5,0.36,0.28,0
11183_MonicaVitti_30_f.jpg,0.52,0.39,0.43,1
13316_SigourneyWeaver_62_f.jpg,0.52,0.46,0.67,1
4058_ClintWalker_35_m.jpg,0.56,0.5,0.25,1
13602_JeanPeters_47_f.jpg,0.59,0.48,0.45,1
14478_PeggyAshcroft_82_f.jpg,0.53,0.47,0.33,1
4304_MichaelPalin_17_m.jpg,0.48,0.38,0.38,0
5412_JonFinch_44_m.jpg,0.34,0.27,0.41,0
3124_ChuckNorris_61_m.jpg,0.6,0.52,0.32,1
14813_SilvanaMangano_45_f.jpg,0.55,0.43,0.06,1
11491_JulieAndrews_69_f.jpg,0.53,0.46,0.55,1
6852_ThomasTerry_45_m.jpg,0.63,0.53,0.34,1
2126_MelBrooks_82_m.jpg,0.65,0.62,0.45,1
7253_KrisKristofferson_50_m.jpg,0.41,0.36,0.21,0
15738_MaryTamm_33_f.jpg,0.64,0.52,0.38,1
14017_GreerGarson_61_f.jpg,0.47,0.33,0.35,0
14351_KristinScottThomas_52_f.jpg,0.58,0.48,0.56,1
8925_ErnestBorgnine_58_m.jpg,0.36,0.33,0.5,0
9253_VittorioGassman_52_m.jpg,0.54,0.47,0.12,1
5828_FrancesDee_41_m.jpg,0.52,0.38,0.07,1
7726_VincentPrice_48_m.jpg,0.59,0.5,0.09,1
8083_JohnForsythe_64_m.jpg,0.52,0.46,0.07,1
12483_AnnaMassey_74_f.jpg,0.52,0.47,0.19,1
3159_DannyDeVito_65_m.jpg,0.54,0.48,0.35,1
14330_KristinScottThomas_28_f.jpg,0.55,0.42,0.07,1
9454_EdwardGRobinson_65_m.jpg,0.5,0.45,0.43,0
15802_SarahDouglas_53_f.jpg,0.44,0.36,0.23,0
15265_DyanCannon_45_f.jpg,0.52,0.44,0.04,1
12836_MaryTylerMoore_63_f.jpg,0.55,0.49,0.78,1
16082_DannyGlover_39_m.jpg,0.51,0.45,0.48,1
1482_CarlMarx_40_m.jpg,0.66,0.48,0.5,1
1133_FaradayMichael_29_m.jpg,0.48,0.24,0.06,0
2450_ChevyChase_45_m.jpg,0.7,0.48,0.3,1
15267_DyanCannon_48_f.jpg,0.58,0.49,0.79,1
12050_DebbieReynolds_81_f.jpg,0.41,0.37,0.0,0
11120_JuneLockhart_33_f.jpg,0.56,0.51,0.03,1
13276_AmandaRedman_33_f.jpg,0.59,0.48,0.6,1
15181_CydCharisse_33_f.jpg,0.5,0.48,0.11,0
11846_BarbaraBouchet_24_f.jpg,0.43,0.33,0.28,0
16093_DannyGlover_58_m.jpg,0.58,0.47,0.03,1
8912_ErnestBorgnine_41_m.jpg,0.33,0.32,0.5,0
15981_MuhammadAli_41_m.jpg,0.48,0.33,0.19,0
4670_JeffGoldblum_62_m.jpg,0.51,0.45,0.04,1
1290_MarieCurie_21_f.jpg,0.62,0.41,0.29,1
8973_FredMacMurray_64_m.jpg,0.66,0.6,0.42,1
11810_AnjelicaHuston_18_f.jpg,0.33,0.26,0.03,0
9671_MegRyan_24_f.jpg,0.52,0.4,0.33,1
3442_KevinSpacey_54_m.jpg,0.62,0.53,0.15,1
10353_AnitaEkberg_39_f.jpg,0.37,0.31,0.11,0
385_DavidSarnoff_16_m.jpg,0.49,0.24,0.52,0
64_Pele_20_m.jpg,0.6,0.33,0.44,1
8781_AnthonyPerkins_20_m.jpg,0.39,0.3,0.44,0
54_Pele_30_m.jpg,0.62,0.43,0.44,1
6452_JohnVernon_38_m.jpg,0.54,0.45,0.41,1
1633_AlPacino_70_m.jpg,0.6,0.44,0.23,1
10197_JulieAdams_35_f.jpg,0.57,0.52,0.58,1
5192_CharlesGrodin_54_m.jpg,0.51,0.46,0.33,1
4746_MichelPiccoli_41_m.jpg,0.57,0.5,0.26,1
13667_LilliPalmer_28_f.jpg,0.44,0.34,0.17,0
4072_ClintWalker_54_m.jpg,0.56,0.51,0.25,1
1475_CarlMarx_55_m.jpg,0.69,0.49,0.5,1
2478_ClaudeRich_61_m.jpg,0.48,0.43,0.23,0
2429_ChevyChase_32_m.jpg,0.69,0.59,0.3,1
14465_PeggyAshcroft_62_f.jpg,0.61,0.51,0.18,1
13476_GingerRogers_55_f.jpg,0.31,0.24,0.0,0
9441_EdwardGRobinson_52_m.jpg,0.45,0.39,0.43,0
7147_JeanPaulBelmondo_62_m.jpg,0.46,0.4,0.31,0
16279_campbell_26_f.jpg,0.52,0.38,0.04,1
6352_JamesArness_51_m.jpg,0.49,0.42,0.34,0
14323_JoanFontaine_29_f.jpg,0.57,0.35,0.42,1
9781_TomJones_67_f.jpg,0.51,0.43,0.35,1
4654_JeffGoldblum_37_m.jpg,0.58,0.48,0.42,1
3330_JeffBridges_35_m.jpg,0.43,0.36,0.03,0
12926_BarbraStreisand_48_f.jpg,0.55,0.43,0.45,1
1167_AlbertSchweitzer_58_m.jpg,0.48,0.39,0.07,0
14947_AmandaBlake_27_f.jpg,0.53,0.4,0.39,1
7411_MickeyRooney_24_m.jpg,0.45,0.36,0.36,0
15587_KateOMara_31_f.jpg,0.55,0.47,0.46,1
2738_KevinBacon_53_m.jpg,0.35,0.29,0.38,0
1610_AlCorley_48_m.jpg,0.65,0.51,0.12,1
6236_DirkBogarde_35_m.jpg,0.55,0.46,0.1,1
172_JhonLenon_31_m.jpg,0.45,0.31,0.1,0
5402_JonFinch_33_m.jpg,0.48,0.39,0.41,0
15191_CydCharisse_46_f.jpg,0.41,0.39,0.11,0
2565_GaryOldman_49_m.jpg,0.58,0.47,0.03,1
11552_LaurenBacall_75_f.jpg,0.52,0.39,0.36,1
5488_MichaelKeaton_36_m.jpg,0.48,0.4,0.29,0
12493_AnneBaxter_18_f.jpg,0.47,0.36,0.4,0
1370_BertrandRussell_60_m.jpg,0.62,0.35,0.48,1
11076_JeanneMoreau_78_f.jpg,0.41,0.39,0.26,0
14185_GeraldinePage_53_f.jpg,0.51,0.32,0.49,1
13405_DanielleDarrieux_17_f.jpg,0.45,0.37,0.41,0
4425_RobertPowell_56_m.jpg,0.55,0.47,0.23,1
16184_BillCosby_32_m.jpg,0.54,0.48,0.1,1
5662_RayDanton_32_m.jpg,0.62,0.48,0.14,1
3389_JohnLithgow_47_m.jpg,0.61,0.52,0.44,1
4903_RomanPolanski_48_m.jpg,0.61,0.52,0.1,1
10978_DonnaDouglas_36_f.jpg,0.59,0.49,0.75,1
15052_BettyGarrett_36_f.jpg,0.53,0.49,0.03,1
9832_JudyDavis_42_f.jpg,0.56,0.43,0.08,1
3533_MartinSheen_50_m.jpg,0.58,0.52,0.31,1
12230_IsabelleAdjani_28_f.jpg,0.48,0.36,0.06,0
12670_IsabelleHuppert_60_f.jpg,0.42,0.36,0.2,0
10117_JaneFonda_38_f.jpg,0.59,0.49,0.62,1
5495_MichaelKeaton_43_m.jpg,0.65,0.53,0.0,1
2380_AlainDelon_35_m.jpg,0.56,0.32,0.32,1
7008_ChristopherWalken_46_m.jpg,0.63,0.52,0.17,1
5589_PeterFalk_32_m.jpg,0.39,0.36,0.32,0
649_TonyBlair_52_m.jpg,0.67,0.48,0.52,1
3125_ChuckNorris_62_m.jpg,0.63,0.55,0.32,1
2693_JohnCleese_62_m.jpg,0.47,0.42,0.26,0
15380_JanePowell_26_f.jpg,0.59,0.47,0.02,1
12309_MelindaDillion_40_f.jpg,0.45,0.39,0.0,0
7636_TellySavalas_68_m.jpg,0.58,0.52,0.48,1
11608_MargeChampion_46_f.jpg,0.41,0.38,0.82,0
11573_LindsayWagner_34_f.jpg,0.55,0.47,0.1,1
4829_RobertRedford_48_m.jpg,0.5,0.42,0.48,0
15535_JulieBishop_32_f.jpg,0.34,0.26,0.13,0
9068_JeanClaudeVanDamme_52_m.jpg,0.56,0.44,0.12,1
13489_GladysCooper_16_f.jpg,0.54,0.43,0.47,1
474_JWMarriott_77_m.jpg,0.65,0.43,0.5,1
4818_PierceBrosnan_60_m.jpg,0.46,0.4,0.06,0
7531_RobertMorley_37_m.jpg,0.6,0.54,0.15,1
13285_AmandaRedman_43_f.jpg,0.59,0.47,0.6,1
3270_IanMcKellen_41_m.jpg,0.59,0.5,0.26,1
16480_SerenaWilliams_26_f.jpg,0.59,0.43,0.3,1
3098_ChuckNorris_28_m.jpg,0.46,0.36,0.03,0
9596_MarcelloMastroianni_57_m.jpg,0.55,0.48,0.38,1
9503_CHARLIERUGGLES_44_m.jpg,0.46,0.43,0.43,0
12525_AnneBaxter_58_f.jpg,0.45,0.38,0.4,0
11821_AnjelicaHuston_45_f.jpg,0.62,0.52,0.43,1
1094_NielsBohr_42_m.jpg,0.39,0.26,0.55,0
13678_LilliPalmer_48_f.jpg,0.58,0.49,0.22,1
1671_BobDylan_44_m.jpg,0.54,0.45,0.5,1
3770_RutgerHauer_54_m.jpg,0.56,0.47,0.04,1
12005_CybillShepherd_43_f.jpg,0.62,0.51,0.36,1
212_ElvisPresley_26_m.jpg,0.6,0.45,0.04,1
3480_LeslieCaron_80_m.jpg,0.54,0.52,0.36,1
8519_CharlesBronson_45_m.jpg,0.56,0.45,0.22,1
8913_ErnestBorgnine_41_m.jpg,0.57,0.55,0.03,1
1538_Bono_34_m.jpg,0.4,0.32,0.33,0
16363_Dench_73_f.jpg,0.54,0.4,0.05,1
5037_AnthonyAndrews_34_m.jpg,0.58,0.5,0.09,1
3712_RingoStarr_68_m.jpg,0.47,0.42,0.03,0
2937_ScottGlenn_56_m.jpg,0.52,0.45,0.4,1
2151_MelGibson_40_m.jpg,0.55,0.44,0.06,1
16341_Dee_28_f.jpg,0.49,0.24,0.33,0
12409_AngieDickinson_19_f.jpg,0.4,0.32,0.14,0
14643_BarbaraStanwyck_35_f.jpg,0.56,0.45,0.18,1
15720_MargaretNolan_66_f.jpg,0.51,0.44,0.28,1
9063_JeanClaudeVanDamme_46_m.jpg,0.56,0.44,0.07,1
1242_RobertOppenheimer_11_m.jpg,0.42,0.21,0.5,0
6137_DanaAndrews_36_m.jpg,0.55,0.49,0.08,1
11088_JodieFoster_17_f.jpg,0.55,0.41,0.32,1
1324_AlbertCamus_42_m.jpg,0.56,0.42,0.04,1
7424_MickeyRooney_47_m.jpg,0.55,0.5,0.36,1
3822_StacyKeach_59_m.jpg,0.48,0.42,0.24,0
6064_WilliamShatner_33_m.jpg,0.56,0.5,0.03,1
10975_DonnaDouglas_33_f.jpg,0.33,0.28,0.04,0
14595_JenniferJones_22_f.jpg,0.63,0.44,0.48,1
9699_MegRyan_53_f.jpg,0.49,0.41,0.33,0
267_michaeljackson_44_m.jpg,0.35,0.26,0.14,0
15032_AnnMiller_60_f.jpg,0.6,0.52,0.65,1
9707_DorisDay_38_f.jpg,0.57,0.45,0.79,1
11097_JodieFoster_30_f.jpg,0.58,0.44,0.32,1
6399_JamesCoburn_32_m.jpg,0.48,0.42,0.35,0
12353_MyrnaLoy_35_f.jpg,0.59,0.45,0.55,1
15634_KatharineRoss_32_f.jpg,0.55,0.47,0.24,1
6065_WilliamShatner_36_m.jpg,0.5,0.45,0.23,0
5713_RoyRogers_57_m.jpg,0.58,0.52,0.6,1
2470_ClaudeRich_49_m.jpg,0.54,0.49,0.23,1
4192_HarveyKeitel_48_m.jpg,0.57,0.49,0.1,1
5212_ClintEastwood_70_m.jpg,0.57,0.46,0.08,1
10116_JaneFonda_35_f.jpg,0.57,0.47,0.28,1
13031_GeraldineChaplin_37_f.jpg,0.6,0.49,0.04,1
11219_PiaLindstrom_25_f.jpg,0.45,0.35,0.8,0
11752_SusanSarandon_60_f.jpg,0.61,0.52,0.43,1
14107_RomySchneider_41_f.jpg,0.59,0.45,0.46,1
6951_CharlesBoyer_29_m.jpg,0.49,0.38,0.06,0
13013_GeraldineChaplin_23_f.jpg,0.54,0.42,0.42,1
15447_JanetEllis_50_f.jpg,0.61,0.49,0.75,1
12899_RuthGordon_76_f.jpg,0.47,0.44,0.41,0
14674_ClaudetteColbert_27_f.jpg,0.62,0.45,0.35,1
13203_MichellePfeiffer_36_f.jpg,0.62,0.47,0.5,1
14569_BeverlyRoberts_35_f.jpg,0.57,0.44,0.13,1
6123_CaryGrant_35_m.jpg,0.53,0.31,0.12,1
16141_SamuelJacksonn_66_m.jpg,0.57,0.51,0.33,1
10067_JaneBirkin_20_f.jpg,0.45,0.35,0.42,0
198_JhonLenon_33_m.jpg,0.4,0.3,0.31,0
8517_CharlesBronson_21_m.jpg,0.45,0.29,0.17,0
13176_JoanLorring_28_f.jpg,0.52,0.39,0.03,1
16063_WillSmith_29_m.jpg,0.62,0.46,0.76,1
5526_NicolasSarkozy_37_m.jpg,0.69,0.57,0.43,1
13487_GladysCooper_9_f.jpg,0.42,0.34,0.33,0
238_TheodorakisMikis_52_m.jpg,0.6,0.48,0.21,1
12550_AlikiBoug_27_f.jpg,0.46,0.32,0.28,0
8218_RandolphScott_35_m.jpg,0.55,0.48,0.09,1
15373_JanePowell_18_f.jpg,0.51,0.41,0.1,1
904_AndreasPapantreou_74_m.jpg,0.56,0.5,0.29,1
1852_TomJones_59_m.jpg,0.61,0.45,0.35,1
14089_RomySchneider_23_f.jpg,0.46,0.34,0.46,0
9163_PeterSellers_35_m.jpg,0.53,0.41,0.36,1
11136_JuneLockhart_68_f.jpg,0.53,0.5,0.72,1
15927_VeronicaLake_26_f.jpg,0.45,0.34,0.0,0
347_Onasis_30_m.jpg,0.42,0.26,0.44,0
14665_ClaudetteColbert_28_f.jpg,0.62,0.46,0.35,1
5941_JackLarson_77_m.jpg,0.61,0.54,0.44,1
12406_UrsulaAndress_58_f.jpg,0.39,0.31,0.38,0
13057_GraceKelly_37_f.jpg,0.44,0.3,0.3,0
2353_AbeVigoda_86_m.jpg,0.56,0.55,0.12,1
1809_TomHulce_36_m.jpg,0.57,0.46,0.5,1
14828_SimoneSignoret_30_f.jpg,0.5,0.37,0.03,0
8619_FrankSinatra_38_m.jpg,0.62,0.44,0.46,1
5180_BobHope_90_m.jpg,0.5,0.52,0.03,0
711_ElVenizelos_48_m.jpg,0.66,0.46,0.13,1
13806_VanessaRedgrave_37_f.jpg,0.45,0.42,0.15,0
10786_OrnellaMuti_52_f.jpg,0.4,0.33,0.05,0
4899_RomanPolanski_43_m.jpg,0.6,0.52,0.4,1
5947_JackLarson_83_m.jpg,0.6,0.56,0.28,1
10810_PeggyLipton_46_f.jpg,0.61,0.5,0.29,1
8123_LeslieNielsen_79_m.jpg,0.59,0.45,0.33,1
15728_MaryTamm_18_f.jpg,0.62,0.47,0.42,1
10316_TerryMoore_37_f.jpg,0.49,0.43,0.68,0
15451_JanetEllis_54_f.jpg,0.59,0.49,0.75,1
4060_ClintWalker_37_m.jpg,0.5,0.44,0.08,0
6241_DirkBogarde_39_m.jpg,0.52,0.43,0.46,1
4988_TimothyDalton_69_m.jpg,0.59,0.55,0.12,1
533_angelamerkel_43_f.jpg,0.63,0.45,0.0,1
247_TheodorakisMikis_45_m.jpg,0.52,0.36,0.17,1
12894_RuthGordon_69_f.jpg,0.46,0.42,0.41,0
15363_ErinGray_60_f.jpg,0.67,0.58,0.69,1
15520_JulieBishop_17_f.jpg,0.6,0.45,0.52,1
15610_KateOMara_54_f.jpg,0.57,0.49,0.12,1
15104_BonnieHunt_49_f.jpg,0.64,0.52,0.76,1
14651_BarbaraStanwyck_48_f.jpg,0.4,0.33,0.18,0
8466_WilliamHolden_25_m.jpg,0.41,0.31,0.28,0
10861_SusanGeorge_24_f.jpg,0.58,0.44,0.41,1
6579_LexBarker_32_m.jpg,0.61,0.49,0.42,1
4400_RobertDuvall_79_m.jpg,0.55,0.54,0.23,1
10659_LuiseRainer_27_f.jpg,0.55,0.4,0.08,1
7017_ChristopherWalken_60_m.jpg,0.46,0.4,0.35,0
5631_PeterOToole_53_m.jpg,0.54,0.4,0.0,1
275_PabloPicasso_15_m.jpg,0.37,0.23,0.23,0
7497_RichardBoone_31_m.jpg,0.52,0.44,0.41,1
12967_CatherineDeneuve_58_f.jpg,0.37,0.32,0.11,0
12528_AnneBaxter_61_f.jpg,0.47,0.41,0.4,0
10464_BetteMidler_32_f.jpg,0.54,0.35,0.75,1
3669_PhilHartman_37_m.jpg,0.61,0.49,0.4,1
9494_MaximilianShell_74_m.jpg,0.61,0.58,0.53,1
14740_MarleneDietrich_58_f.jpg,0.66,0.58,0.45,1
2296_SamNeill_36_m.jpg,0.57,0.49,0.15,1
11399_AnnetteBening_29_f.jpg,0.6,0.45,0.04,1
1175_AlbertSchweitzer_78_m.jpg,0.47,0.36,0.43,0
999_CarlSagan_35_m.jpg,0.6,0.38,0.42,1
7091_Garycooper_39_m.jpg,0.55,0.4,0.17,1
11062_JeanneMoreau_46_f.jpg,0.47,0.42,0.16,0
15674_KathrynGrayson_30_f.jpg,0.56,0.43,0.19,1
15940_VeronicaLake_50_f.jpg,0.4,0.31,0.55,0
3899_TomasMilian_39_m.jpg,0.45,0.39,0.5,0
5616_PeterFalk_66_m.jpg,0.45,0.42,0.14,0
12788_MargaretOBrien_16_f.jpg,0.49,0.38,0.5,0
8926_ErnestBorgnine_59_m.jpg,0.52,0.49,0.17,1
5781_BenGazzara_49_m.jpg,0.5,0.44,0.02,0
3158_DannyDeVito_65_m.jpg,0.26,0.23,0.35,0
1301_RitaLeviMontalcini_96_f.jpg,0.56,0.4,0.07,1
11311_TanyaRoberts_22_f.jpg,0.59,0.45,0.0,1
13575_IreneDunne_63_f.jpg,0.58,0.52,0.28,1
15534_JulieBishop_31_f.jpg,0.48,0.37,0.52,0
9540_RicardoMontalbаn_37_m.jpg,0.52,0.46,0.0,1
4165_HarrisonFord_32_m.jpg,0.58,0.51,0.0,1
12504_AnneBaxter_35_f.jpg,0.38,0.3,0.4,0
7201_JohnWayne_68_m.jpg,0.6,0.48,0.21,1
11054_JeanneMoreau_36_f.jpg,0.49,0.43,0.21,0
8092_Konstantaras_59_m.jpg,0.54,0.37,0.33,1
8203_PeterUstinov_38_m.jpg,0.47,0.29,0.31,0
6353_JamesArness_52_m.jpg,0.48,0.41,0.34,0
15743_MaryTamm_44_f.jpg,0.56,0.44,0.12,1
4215_HelmutBerger_25_m.jpg,0.43,0.33,0.46,0
1124_FaradayMichael_60_m.jpg,0.64,0.48,0.62,1
2723_KevinBacon_39_m.jpg,0.53,0.42,0.38,1
8441_WalterPidgeon_47_m.jpg,0.48,0.41,0.5,0
177_JhonLenon_32_m.jpg,0.49,0.35,0.31,0
639_mitsotakis_76_m.jpg,0.61,0.45,0.38,1
15492_JeanetteMacDonald_57_f.jpg,0.57,0.44,0.6,1
7924_GeorgePeppard_58_m.jpg,0.58,0.45,0.32,1
12428_AngieDickinson_62_f.jpg,0.5,0.37,0.68,0
11266_ShirleyJones_69_f.jpg,0.61,0.55,0.88,1
10904_Arletty_34_f.jpg,0.57,0.52,0.19,1
141_PaulmcCartney_67_m.jpg,0.43,0.23,0.39,0
1901_EdwardFox_27_m.jpg,0.5,0.39,0.28,0
4244_JeffreyJones_40_m.jpg,0.53,0.44,0.35,1
10308_TerryMoore_20_f.jpg,0.49,0.39,0.68,0
1726_TimCurry_29_m.jpg,0.56,0.44,0.08,1
15549_JulieHagerty_21_f.jpg,0.53,0.41,0.65,1
13045_GeraldineChaplin_56_f.jpg,0.54,0.45,0.42,1
2471_ClaudeRich_51_m.jpg,0.33,0.3,0.08,0
15369_JanePowell_14_f.jpg,0.51,0.42,0.69,1
9620_KostasXatzixristos_72_m.jpg,0.43,0.33,0.0,0
11033_EmmaThompson_37_f.jpg,0.56,0.45,0.37,1
869_WinstonChurchill_48_m.jpg,0.44,0.39,0.24,0
9352_GeorgesMarchal_61_m.jpg,0.53,0.46,0.44,1
8922_ErnestBorgnine_55_m.jpg,0.54,0.5,0.17,1
12124_EvaMarieSaint_85_f.jpg,0.65,0.63,0.63,1
7566_RobertRyan_38_m.jpg,0.61,0.51,0.39,1
15844_StefaniePowers_44_f.jpg,0.55,0.38,0.51,1
3699_RingoStarr_42_m.jpg,0.58,0.49,0.54,1
4124_GenaRowlands_28_m.jpg,0.46,0.37,0.24,0
5561_PatrickStewart_44_m.jpg,0.55,0.48,0.09,1
15867_StВphaneAudran_39_f.jpg,0.38,0.33,0.0,0
4212_HelmutBerger_22_m.jpg,0.51,0.39,0.46,1
3006_AlanRickman_30_m.jpg,0.53,0.41,0.41,1
10673_LuiseRainer_23_f.jpg,0.52,0.37,0.36,1
2366_AlainDelon_40_m.jpg,0.6,0.42,0.32,1
9114_MarlonBrando_40_m.jpg,0.5,0.38,0.5,0
15305_EdwigeFenech_33_f.jpg,0.54,0.45,0.43,1
4430_RobertPowell_67_m.jpg,0.46,0.42,0.27,0
3463_LeslieCaron_54_m.jpg,0.54,0.49,0.36,1
1903_EdwardFox_29_m.jpg,0.47,0.37,0.17,0
11644_MaureenOHara_78_f.jpg,0.54,0.44,0.52,1
1505_GabrielGarciaMarquez_67_m.jpg,0.6,0.46,0.05,1
9634_AlexandrakisAlekos_30_m.jpg,0.56,0.37,0.25,1
