Image,MS,Adj_MS,Emotion_Similarity,label,Transformed_Log_Combined_Score
14813_SilvanaMangano_45_f.jpg,0.55,0.43,0.06,1,0.21
15114_CatherineSchell_20_f.jpg,0.5,0.39,0.17,0,0.32
1298_RitaLeviMontalcini_57_f.jpg,0.59,0.52,0.79,1,0.9
14182_EstherWilliams_84_f.jpg,0.66,0.64,0.88,1,1.0
6121_CaryGrant_28_m.jpg,0.53,0.29,0.38,1,0.5
1321_AlbertCamus_40_m.jpg,0.51,0.38,0.04,1,0.16
1519_YannisRitsos_70_m.jpg,0.49,0.4,0.15,0,0.29
11255_ShirleyJones_39_f.jpg,0.6,0.54,0.06,1,0.24
10264_LivUllmann_66_f.jpg,0.51,0.45,0.37,1,0.53
1693_EdHarris_33_m.jpg,0.61,0.51,0.26,1,0.45
4062_ClintWalker_39_m.jpg,0.43,0.39,0.11,0,0.24
6331_JamesArness_23_m.jpg,0.42,0.33,0.13,0,0.25
13723_PatriciaNeal_27_f.jpg,0.37,0.29,0.65,0,0.71
10639_LuiseRainer_25_f.jpg,0.52,0.39,0.36,1,0.51
4440_StevenSeagal_45_m.jpg,0.5,0.41,0.52,0,0.65
15311_EdwigeFenech_40_f.jpg,0.35,0.29,0.08,0,0.17
9468_MaximilianShell_28_m.jpg,0.58,0.46,0.12,1,0.29
4839_RobertRedford_73_m.jpg,0.51,0.42,0.48,1,0.62
9763_TomJones_35_f.jpg,0.56,0.39,0.09,1,0.23
2170_Mparkoulis_32_m.jpg,0.55,0.48,0.07,1,0.23
14381_LorettaYoung_72_f.jpg,0.53,0.45,0.28,1,0.45
16461_Tyson_52_f.jpg,0.5,0.32,0.2,0,0.33
6640_MelFerrer_60_m.jpg,0.6,0.55,0.54,1,0.72
2424_ChevyChase_28_m.jpg,0.62,0.48,0.3,1,0.49
2141_MelGibson_29_m.jpg,0.54,0.41,0.12,1,0.27
6301_FernandoRey_34_m.jpg,0.52,0.46,0.09,1,0.25
14649_BarbaraStanwyck_45_f.jpg,0.45,0.36,0.53,0,0.64
8763_AlecGuinness_53_m.jpg,0.61,0.47,0.17,1,0.35
1868_AlanYoung_23_m.jpg,0.39,0.31,0.0,0,0.08
6363_JamesArness_70_m.jpg,0.52,0.48,0.34,1,0.51
4043_CharlieSheen_47_m.jpg,0.51,0.4,0.26,1,0.41
4813_PierceBrosnan_56_m.jpg,0.62,0.52,0.39,1,0.58
15302_EdwigeFenech_30_f.jpg,0.52,0.4,0.43,1,0.58
4907_RomanPolanski_52_m.jpg,0.61,0.53,0.22,1,0.42
8542_CharlieChaplin_52_m.jpg,0.5,0.36,0.05,0,0.17
5691_RoyRogers_27_m.jpg,0.48,0.38,0.0,0,0.11
2681_JohnCleese_42_m.jpg,0.5,0.43,0.26,0,0.42
2603_JamesWoods_21_m.jpg,0.56,0.44,0.2,1,0.37
16047_MorganFreeman_41_m.jpg,0.47,0.23,0.32,0,0.42
1164_AlbertSchweitzer_50_m.jpg,0.53,0.49,0.43,1,0.6
7595_SylvesterStallone_39_m.jpg,0.49,0.4,0.5,0,0.63
15705_MargaretNolan_23_f.jpg,0.31,0.24,0.28,0,0.36
14888_BernadetteLafont_54_f.jpg,0.42,0.36,0.23,0,0.36
1467_RabindranathTagore_12_m.jpg,0.44,0.18,0.46,0,0.53
8971_FredMacMurray_59_m.jpg,0.55,0.49,0.25,1,0.43
1179_ErnestRutherford_58_m.jpg,0.41,0.22,0.25,0,0.34
6142_DanaAndrews_44_m.jpg,0.64,0.56,0.39,1,0.59
5917_HowardKeel_80_m.jpg,0.42,0.41,0.37,0,0.51
15923_VeronicaLake_22_f.jpg,0.58,0.44,0.55,1,0.7
4844_RobertRedford_36_m.jpg,0.49,0.28,0.48,0,0.58
10452_BetteMidler_62_f.jpg,0.66,0.43,0.75,1,0.86
13045_GeraldineChaplin_56_f.jpg,0.54,0.45,0.42,1,0.58
15073_BettyGarrett_78_f.jpg,0.64,0.6,0.85,1,0.97
14505_SusanHayward_36_f.jpg,0.56,0.41,0.34,1,0.5
7480_PeterMarkRichman_64_m.jpg,0.65,0.52,0.07,1,0.25
10225_KathyBates_47_f.jpg,0.33,0.27,0.21,0,0.3
2868_RyanONeal_71_m.jpg,0.52,0.44,0.15,1,0.31
3771_RutgerHauer_56_m.jpg,0.56,0.48,0.04,1,0.2
3153_DannyDeVito_59_m.jpg,0.55,0.47,0.22,1,0.39
10860_SusanGeorge_23_f.jpg,0.52,0.39,0.09,1,0.23
4973_TimothyDalton_45_m.jpg,0.6,0.51,0.12,1,0.3
4998_WarrenBeatty_29_m.jpg,0.52,0.4,0.32,1,0.47
12400_UrsulaAndress_42_f.jpg,0.3,0.23,0.1,0,0.17
11436_CyndiLauper_38_f.jpg,0.46,0.39,0.27,0,0.41
14718_MarleneDietrich_34_f.jpg,0.51,0.44,0.18,1,0.34
7508_RichardBoone_41_m.jpg,0.55,0.45,0.17,1,0.34
2566_GaryOldman_51_m.jpg,0.49,0.4,0.2,0,0.35
13079_GraceKelly_29_f.jpg,0.49,0.35,0.52,0,0.64
10687_LuiseRainer_85_f.jpg,0.47,0.43,0.36,0,0.51
4828_RobertRedford_45_m.jpg,0.52,0.45,0.48,1,0.63
3426_KevinSpacey_39_m.jpg,0.66,0.52,0.39,1,0.59
5053_AnthonyAndrews_61_m.jpg,0.62,0.48,0.34,1,0.52
8241_ReginaldOwen_44_m.jpg,0.5,0.46,0.19,0,0.35
3199_EliWallach_41_m.jpg,0.47,0.39,0.03,0,0.15
15323_EdwigeFenech_57_f.jpg,0.57,0.48,0.3,1,0.48
1786_TomHanks_50_m.jpg,0.53,0.43,0.31,1,0.47
11608_MargeChampion_46_f.jpg,0.41,0.38,0.82,0,0.86
944_Gaddafi_28_m.jpg,0.51,0.39,0.27,1,0.42
8578_CliffRobertson_80_m.jpg,0.56,0.55,0.54,1,0.71
2526_DonJohnson_53_m.jpg,0.57,0.47,0.63,1,0.77
2287_RodTaylor_69_m.jpg,0.5,0.46,0.36,0,0.52
6314_FernandoRey_53_m.jpg,0.51,0.43,0.38,1,0.54
1423_ErnestHemingway_57_m.jpg,0.49,0.35,0.32,0,0.46
14611_YvonneDeCarlo_40_f.jpg,0.54,0.46,0.43,1,0.59
15913_VeraEllen_40_f.jpg,0.5,0.38,0.14,0,0.28
5087_AnthonyHopkins_68_m.jpg,0.47,0.37,0.18,0,0.32
12167_GlendaJackson_35_f.jpg,0.59,0.51,0.33,1,0.52
10307_TerryMoore_19_f.jpg,0.34,0.27,0.11,0,0.2
16481_SerenaWilliams_27_f.jpg,0.59,0.43,0.3,1,0.47
1441_FriedrichNietzsche_17_m.jpg,0.52,0.36,0.16,1,0.3
11658_MireilleDarc_28_f.jpg,0.55,0.43,0.39,1,0.55
14480_PeggyAshcroft_41_f.jpg,0.45,0.27,0.33,0,0.44
9026_HumphreyBogard_39_m.jpg,0.58,0.41,0.48,1,0.63
555_angelamerkel_42_f.jpg,0.67,0.44,0.44,1,0.61
2483_ClaudeRich_67_m.jpg,0.51,0.46,0.23,1,0.4
7257_KrisKristofferson_58_m.jpg,0.51,0.45,0.32,1,0.49
1975_JamesBest_87_m.jpg,0.49,0.48,0.03,0,0.17
144_PaulmcCartney_70_m.jpg,0.57,0.3,0.04,1,0.15
1255_AlexanderGrahamBell_65_m.jpg,0.56,0.38,0.36,1,0.51
15254_DyanCannon_32_f.jpg,0.36,0.31,0.09,0,0.19
16360_Dench_77_f.jpg,0.51,0.38,0.32,1,0.47
2381_AlainDelon_74_m.jpg,0.53,0.44,0.04,1,0.18
13095_GretaGarbo_32_f.jpg,0.44,0.36,0.17,0,0.3
3317_JackColeman_57_m.jpg,0.6,0.5,0.04,1,0.2
12847_MylКneDemongeot_22_f.jpg,0.48,0.37,0.0,0,0.11
10804_PeggyLipton_32_f.jpg,0.59,0.5,0.29,1,0.48
15163_ConnieBooth_46_f.jpg,0.58,0.49,0.15,1,0.33
3075_BruceWillis_35_m.jpg,0.58,0.47,0.03,1,0.18
10623_LindaEvans_48_f.jpg,0.43,0.36,0.1,0,0.22
12142_FrancescaAnnis_35_f.jpg,0.41,0.34,0.35,0,0.47
1516_YannisRitsos_55_m.jpg,0.4,0.32,0.15,0,0.26
11310_TanyaRoberts_21_f.jpg,0.59,0.45,0.3,1,0.48
5997_JohnHuston_47_m.jpg,0.5,0.45,0.38,0,0.54
12141_FrancescaAnnis_34_f.jpg,0.51,0.43,0.39,1,0.55
6682_PeterGraves_43_m.jpg,0.55,0.48,0.12,1,0.29
12018_DebbieReynolds_18_f.jpg,0.42,0.34,0.12,0,0.24
7782_AlbertoSordi_79_m.jpg,0.58,0.56,0.15,1,0.34
2926_ScottGlenn_45_m.jpg,0.48,0.41,0.4,0,0.55
989_CarlSagan_21_m.jpg,0.52,0.38,0.17,1,0.32
9555_RicardoMontalbаn_65_m.jpg,0.58,0.52,0.0,1,0.16
11289_SophiaLoren_52_f.jpg,0.61,0.48,0.15,1,0.33
6359_JamesArness_59_m.jpg,0.52,0.46,0.34,1,0.51
1771_TomHanks_37_m.jpg,0.58,0.47,0.06,1,0.22
2871_SamElliott_26_m.jpg,0.51,0.39,0.15,1,0.29
1221_ClaudeLВviStrauss_85_m.jpg,0.64,0.47,0.0,1,0.15
1212_MendeleievDmitri_55_m.jpg,0.53,0.4,0.0,1,0.12
12891_RuthGordon_58_f.jpg,0.44,0.4,0.41,0,0.55
8994_GeorgeCScott_46_m.jpg,0.4,0.32,0.17,0,0.28
494_motherTereza_85_f.jpg,0.5,0.36,0.13,0,0.26
9055_JeanClaudeVanDamme_37_m.jpg,0.5,0.4,0.12,0,0.26
8983_FredMacMurray_79_m.jpg,0.62,0.61,0.05,1,0.25
4700_JohnTravolta_31_m.jpg,0.42,0.28,0.48,0,0.57
5023_WarrenBeatty_75_m.jpg,0.54,0.43,0.29,1,0.45
8952_FredMacMurray_34_m.jpg,0.63,0.57,0.25,1,0.46
16232_RichardPryor_39_m.jpg,0.57,0.4,0.45,1,0.6
4306_MichaelPalin_26_m.jpg,0.56,0.43,0.22,1,0.39
842_HarrySTruman_79_m.jpg,0.39,0.35,0.2,0,0.32
2062_JonVoight_47_m.jpg,0.51,0.45,0.3,1,0.47
6567_LeeJCobb_50_m.jpg,0.57,0.45,0.24,1,0.41
16270_campbell_25_f.jpg,0.39,0.29,0.36,0,0.47
15781_PamelaSueMartin_62_f.jpg,0.56,0.5,0.43,1,0.61
11607_MargeChampion_40_f.jpg,0.63,0.57,0.82,1,0.94
8302_RichardChamberlain_78_m.jpg,0.43,0.42,0.14,0,0.28
6595_LexBarker_51_m.jpg,0.53,0.44,0.08,1,0.23
8400_SpencerTracy_58_m.jpg,0.64,0.52,0.23,1,0.43
12821_MaryTylerMoore_36_f.jpg,0.56,0.48,0.78,1,0.88
5259_Fotopoulos_58_m.jpg,0.53,0.43,0.18,1,0.34
6350_JamesArness_49_m.jpg,0.57,0.49,0.34,1,0.52
872_WinstonChurchill_68_m.jpg,0.57,0.44,0.41,1,0.57
1326_AlbertCamus_42_m.jpg,0.58,0.43,0.22,1,0.39
1503_GabrielGarciaMarquez_74_m.jpg,0.49,0.38,0.19,0,0.33
11276_ShirleyJones_79_f.jpg,0.65,0.61,0.88,1,0.99
4655_JeffGoldblum_40_m.jpg,0.43,0.35,0.27,0,0.4
2482_ClaudeRich_66_m.jpg,0.45,0.41,0.23,0,0.38
15110_CatherineSchell_25_f.jpg,0.4,0.31,0.66,0,0.73
14723_MarleneDietrich_39_f.jpg,0.61,0.53,0.13,1,0.32
5078_AnthonyHopkins_51_m.jpg,0.62,0.54,0.09,1,0.28
2260_RodTaylor_32_m.jpg,0.53,0.45,0.26,1,0.43
6270_ErrolFlynn_27_m.jpg,0.42,0.31,0.13,0,0.24
156_PaulmcCartney_26_m.jpg,0.62,0.41,0.18,1,0.35
14026_GreerGarson_58_f.jpg,0.63,0.47,0.35,1,0.53
5518_NicolasSarkozy_26_m.jpg,0.28,0.21,0.4,0,0.46
15491_JeanetteMacDonald_56_f.jpg,0.6,0.46,0.21,1,0.39
4668_JeffGoldblum_58_m.jpg,0.56,0.47,0.42,1,0.59
4491_CarlosSantana_26_m.jpg,0.51,0.4,0.16,1,0.31
2842_RonPerlman_65_m.jpg,0.61,0.56,0.1,1,0.29
8491_AlejandroRey_32_m.jpg,0.54,0.44,0.22,1,0.39
2305_SamNeill_46_m.jpg,0.43,0.36,0.09,0,0.21
10819_PeggyLipton_60_f.jpg,0.65,0.55,0.65,1,0.81
10379_AnnMargret_32_f.jpg,0.51,0.43,0.48,1,0.63
12375_MyrnaLoy_67_f.jpg,0.5,0.41,0.55,0,0.68
5493_MichaelKeaton_41_m.jpg,0.47,0.39,0.29,0,0.44
11566_LaurenBacall_20_f.jpg,0.52,0.27,0.36,1,0.48
1780_TomHanks_45_m.jpg,0.62,0.5,0.31,1,0.5
1473_RabindranathTagore_65_m.jpg,0.55,0.42,0.46,1,0.61
6988_ChristopherWalken_23_m.jpg,0.58,0.45,0.35,1,0.52
16189_BillCosby_59_m.jpg,0.58,0.5,0.52,1,0.69
1967_JamesBest_78_m.jpg,0.45,0.42,0.03,0,0.15
6295_ErrolFlynn_42_m.jpg,0.62,0.48,0.32,1,0.51
16113_SamuelJacksonn_45_m.jpg,0.55,0.47,0.33,1,0.5
3547_MartinSheen_68_m.jpg,0.59,0.53,0.31,1,0.5
11405_AnnetteBening_35_f.jpg,0.56,0.46,0.07,1,0.23
8676_JohnCassavetes_44_m.jpg,0.6,0.48,0.21,1,0.39
11494_JulieAndrews_74_f.jpg,0.57,0.49,0.55,1,0.71
1749_TimCurry_58_m.jpg,0.59,0.5,0.28,1,0.47
12741_JenniferAniston_28_f.jpg,0.52,0.39,0.43,1,0.57
6494_JohnnyCash_29_m.jpg,0.54,0.38,0.07,1,0.2
11183_MonicaVitti_30_f.jpg,0.52,0.39,0.43,1,0.57
16309_Carroll_30_f.jpg,0.4,0.26,0.18,0,0.28
1433_FriedrichNietzsche_38_m.jpg,0.43,0.3,0.26,0,0.38
15000_AnnJillian_64_f.jpg,0.45,0.41,0.48,0,0.61
366_DavidSarnoff_57_m.jpg,0.54,0.35,0.52,1,0.64
13425_DanielleDarrieux_48_f.jpg,0.38,0.35,0.41,0,0.53
15023_AnnMiller_45_f.jpg,0.62,0.54,0.65,1,0.8
7296_LeifErickson_60_m.jpg,0.51,0.43,0.23,1,0.39
16376_Houston_46_f.jpg,0.49,0.31,0.42,0,0.54
827_JosephStalin_57_m.jpg,0.6,0.44,0.24,1,0.41
15815_StefaniePowers_24_f.jpg,0.55,0.43,0.3,1,0.47
12707_JanetLeigh_28_f.jpg,0.51,0.4,0.33,1,0.48
1141_HeinrichHertz_35_m.jpg,0.54,0.41,0.0,1,0.13
12149_FrancescaAnnis_50_f.jpg,0.55,0.46,0.35,1,0.52
2468_ClaudeRich_45_m.jpg,0.47,0.43,0.23,0,0.39
13556_HelenHayes_90_f.jpg,0.41,0.42,0.07,0,0.2
14727_MarleneDietrich_43_f.jpg,0.63,0.54,0.45,1,0.64
12028_DebbieReynolds_28_f.jpg,0.55,0.43,0.6,1,0.73
7564_RobertRyan_36_m.jpg,0.63,0.54,0.26,1,0.46
12868_MylКneDemongeot_57_f.jpg,0.46,0.39,0.0,0,0.11
3482_LeslieCaron_83_m.jpg,0.55,0.54,0.36,1,0.55
14270_JoanCrawford_35_f.jpg,0.45,0.35,0.27,0,0.4
12290_LauraAntonelli_42_f.jpg,0.57,0.47,0.0,1,0.14
13894_AnnieGirardot_50_f.jpg,0.45,0.39,0.26,0,0.4
791_akistsoxatzopoulos_65_m.jpg,0.56,0.42,0.14,1,0.3
6173_DenzelWashington_35_m.jpg,0.56,0.41,0.0,1,0.13
8671_JohnCassavetes_39_m.jpg,0.56,0.45,0.21,1,0.38
15889_StВphaneAudran_67_f.jpg,0.45,0.41,0.0,0,0.11
9424_EdwardGRobinson_34_m.jpg,0.57,0.52,0.43,1,0.61
622_Gorbachev_59_m.jpg,0.61,0.43,0.15,1,0.32
14474_PeggyAshcroft_75_f.jpg,0.59,0.51,0.23,1,0.42
7376_LyleTalbot_35_m.jpg,0.62,0.54,0.38,1,0.58
16057_WillSmith_24_m.jpg,0.6,0.44,0.17,1,0.34
5899_HowardKeel_50_m.jpg,0.49,0.45,0.18,0,0.34
5922_HowardKeel_81_m.jpg,0.55,0.54,0.37,1,0.56
4028_CharlieSheen_30_m.jpg,0.24,0.18,0.29,0,0.35
7596_SylvesterStallone_43_m.jpg,0.53,0.43,0.08,1,0.23
12175_GlendaJackson_54_f.jpg,0.53,0.44,0.33,1,0.49
10318_TerryMoore_40_f.jpg,0.34,0.28,0.11,0,0.2
13624_JessicaTandy_42_f.jpg,0.54,0.38,0.25,1,0.4
15988_MuhammadAli_12_m.jpg,0.44,0.29,0.15,0,0.26
13113_JaneRussell_31_f.jpg,0.56,0.5,0.53,1,0.69
14426_OliviadeHavilland_33_f.jpg,0.53,0.45,0.64,1,0.76
4930_StevenBerkoff_32_m.jpg,0.53,0.48,0.17,1,0.34
13504_GladysCooper_53_f.jpg,0.32,0.23,0.47,0,0.54
8161_LorneGreene_67_m.jpg,0.58,0.51,0.46,1,0.64
6506_JohnnyCash_56_m.jpg,0.47,0.4,0.55,0,0.67
9599_MarcelloMastroianni_61_m.jpg,0.48,0.42,0.22,0,0.37
15510_JeanetteMacDonald_54_f.jpg,0.56,0.47,0.6,1,0.74
16371_Houston_25_f.jpg,0.53,0.4,0.0,1,0.12
5131_ArmandAssante_47_m.jpg,0.6,0.48,0.03,1,0.19
13817_VanessaRedgrave_51_f.jpg,0.36,0.32,0.38,0,0.49
7960_GilbertRoland_50_m.jpg,0.61,0.51,0.43,1,0.61
7360_LouisJourdan_67_m.jpg,0.55,0.5,0.44,1,0.61
9493_MaximilianShell_72_m.jpg,0.61,0.57,0.53,1,0.71
2591_GeneWilder_59_m.jpg,0.61,0.55,0.2,1,0.4
1348_Soljenitsyne_57_m.jpg,0.45,0.31,0.0,0,0.09
3262_IanMcKellen_25_m.jpg,0.56,0.44,0.19,1,0.36
9862_KimNovak_47_f.jpg,0.48,0.36,0.06,0,0.18
15520_JulieBishop_17_f.jpg,0.6,0.45,0.52,1,0.68
1854_TomJones_61_m.jpg,0.58,0.42,0.35,1,0.51
2333_AbeVigoda_58_m.jpg,0.63,0.58,0.0,1,0.18
4778_MichelPiccoli_82_m.jpg,0.54,0.56,0.16,1,0.35
87_PaulAnka_66_m.jpg,0.56,0.43,0.32,1,0.49
460_BerryGordy_52_m.jpg,0.61,0.43,0.58,1,0.72
11294_SophiaLoren_66_f.jpg,0.54,0.42,0.52,1,0.66
13662_JuneAllyson_21_f.jpg,0.61,0.36,0.76,1,0.84
11866_BarbaraBouchet_54_f.jpg,0.52,0.44,0.4,1,0.56
14706_ElizabethTaylor_75_f.jpg,0.56,0.38,0.5,1,0.64
7683_UgoTognazzi_42_m.jpg,0.56,0.47,0.39,1,0.56
10697_MaggieSmith_28_f.jpg,0.47,0.36,0.42,0,0.55
8485_WilliamHolden_56_m.jpg,0.24,0.2,0.14,0,0.19
8892_ChristopherEccleston_35_m.jpg,0.59,0.47,0.58,1,0.73
15171_ConnieBooth_62_f.jpg,0.53,0.47,0.33,1,0.5
7206_JohnWayne_36_m.jpg,0.55,0.33,0.21,1,0.35
12377_MyrnaLoy_35_f.jpg,0.43,0.26,0.04,0,0.12
12463_AnnaMassey_28_f.jpg,0.52,0.41,0.27,1,0.43
11843_BarbaraBouchet_21_f.jpg,0.39,0.3,0.05,0,0.14
10581_KathrynHays_72_f.jpg,0.5,0.47,0.21,0,0.38
196_JhonLenon_27_m.jpg,0.46,0.34,0.03,0,0.13
6594_LexBarker_49_m.jpg,0.44,0.36,0.08,0,0.2
6133_DanaAndrews_39_m.jpg,0.6,0.53,0.39,1,0.58
14777_ShelleyWinters_33_f.jpg,0.55,0.34,0.55,1,0.67
6477_JohnnyCash_23_m.jpg,0.5,0.38,0.11,0,0.25
15188_CydCharisse_41_f.jpg,0.51,0.49,0.57,1,0.72
604_Gorbachev_78_m.jpg,0.54,0.26,0.0,1,0.08
7605_SylvesterStallone_57_m.jpg,0.55,0.46,0.08,1,0.24
7277_LeifErickson_30_m.jpg,0.5,0.38,0.32,0,0.47
6775_RockHudson_57_m.jpg,0.49,0.42,0.08,0,0.22
6060_WilliamShatner_27_m.jpg,0.49,0.38,0.23,0,0.38
5264_Fotopoulos_43_m.jpg,0.55,0.37,0.29,1,0.44
7657_TonyCurtis_37_m.jpg,0.48,0.37,0.48,0,0.61
2019_JamesCaan_73_m.jpg,0.48,0.45,0.31,0,0.47
15846_StefaniePowers_54_f.jpg,0.63,0.48,0.51,1,0.68
2867_RyanONeal_67_m.jpg,0.45,0.38,0.22,0,0.36
4549_Fernandel_10_m.jpg,0.4,0.32,0.16,0,0.27
246_TheodorakisMikis_83_m.jpg,0.6,0.49,0.17,1,0.35
5895_HowardKeel_40_m.jpg,0.42,0.38,0.11,0,0.24
14156_VivienLeigh_27_f.jpg,0.63,0.43,0.64,1,0.77
10114_JaneFonda_33_f.jpg,0.52,0.44,0.62,1,0.74
12209_ImeldaStaunton_51_f.jpg,0.54,0.45,0.15,1,0.31
11777_TildaSwinton_48_f.jpg,0.72,0.57,0.16,1,0.37
6754_RockHudson_13_m.jpg,0.44,0.34,0.22,0,0.35
15199_CydCharisse_68_f.jpg,0.53,0.49,0.57,1,0.72
12321_MelindaDillion_57_f.jpg,0.47,0.41,0.2,0,0.35
1629_AlPacino_35_m.jpg,0.61,0.44,0.23,1,0.4
4562_Fernandel_44_m.jpg,0.56,0.47,0.23,1,0.41
1824_TomHulce_55_m.jpg,0.52,0.43,0.25,1,0.41
10242_KathyBates_65_f.jpg,0.53,0.47,0.21,1,0.38
12025_DebbieReynolds_25_f.jpg,0.53,0.41,0.12,1,0.27
11440_CyndiLauper_51_f.jpg,0.61,0.5,0.27,1,0.46
3425_KevinSpacey_39_m.jpg,0.55,0.44,0.39,1,0.55
9092_LawrenceTierney_61_m.jpg,0.57,0.45,0.32,1,0.49
5799_BenGazzara_80_m.jpg,0.57,0.54,0.02,1,0.19
1839_TomJones_30_m.jpg,0.55,0.43,0.27,1,0.44
15475_JeanetteMacDonald_35_f.jpg,0.59,0.49,0.6,1,0.75
419_LelandStanford_54_m.jpg,0.63,0.46,0.5,1,0.66
12002_CybillShepherd_40_f.jpg,0.27,0.22,0.0,0,0.04
7139_JeanPaulBelmondo_44_m.jpg,0.49,0.41,0.31,0,0.46
939_FranklinDRoosevelt_23_m.jpg,0.59,0.31,0.11,1,0.24
12610_FrancesDee_70_f.jpg,0.38,0.28,0.12,0,0.21
