Image,label,SDD_FIQA,Match_Score,Adj_MS,Emotion_Similarity,Label,Combined_Score,U3FQ
5218_ClintEastwood_70_m.jpg,1,0.44,0.59,0.48,0.31,1,0.49,0.4
6724_RexHarrison_69_m.jpg,0,0.4,0.43,0.34,0.25,0,0.37,0.26
4186_HarveyKeitel_39_m.jpg,0,0.49,0.48,0.43,0.03,0,0.14,0.4
10013_GoldieHawn_44_f.jpg,1,0.51,0.64,0.53,0.12,1,0.3,0.43
13587_JeanPeters_22_f.jpg,0,0.58,0.31,0.24,0.05,0,0.09,0.42
6102_CaryGrant_50_m.jpg,1,0.59,0.57,0.38,0.38,1,0.53,0.59
290_HatzidakisManos_38_m.jpg,1,0.51,0.64,0.47,0.14,1,0.31,0.35
14116_SusannahYork_27_f.jpg,0,0.48,0.47,0.36,0.5,0,0.63,0.31
6083_WilliamShatner_69_m.jpg,1,0.43,0.53,0.47,0.23,1,0.4,0.54
9448_EdwardGRobinson_59_m.jpg,1,0.64,0.58,0.51,0.07,1,0.23,0.42
16136_SamuelJacksonn_62_m.jpg,1,0.42,0.57,0.48,0.03,1,0.17,0.38
13426_DanielleDarrieux_49_f.jpg,0,0.41,0.4,0.36,0.33,0,0.46,0.31
9768_TomJones_50_f.jpg,1,0.57,0.58,0.44,0.27,1,0.44,0.54
13671_LilliPalmer_36_f.jpg,1,0.36,0.6,0.5,0.17,1,0.35,0.29
3579_MichaelYork_50_m.jpg,1,0.26,0.54,0.45,0.07,1,0.21,0.41
12777_KathleenTurner_56_f.jpg,1,0.51,0.68,0.57,0.18,1,0.39,0.38
943_FranklinDRoosevelt_61_m.jpg,1,0.63,0.64,0.53,0.37,1,0.57,0.51
146_PaulmcCartney_20_m.jpg,0,0.41,0.37,0.24,0.18,0,0.26,0.42
12923_BarbraStreisand_41_f.jpg,1,0.41,0.57,0.43,0.13,1,0.28,0.45
15949_MartinLutherKing_37_m.jpg,0,0.31,0.4,0.29,0.24,0,0.34,0.32
11912_BeaArthur_76_f.jpg,1,0.5,0.53,0.5,0.41,1,0.59,0.22
4983_TimothyDalton_61_m.jpg,1,0.37,0.59,0.52,0.46,1,0.65,0.4
2112_MelBrooks_61_m.jpg,1,0.49,0.6,0.55,0.12,1,0.3,0.46
6926_BorisKarloff_65_m.jpg,0,0.33,0.43,0.34,0.11,0,0.21,0.37
11641_MaureenOHara_78_f.jpg,1,0.42,0.52,0.41,0.03,1,0.14,0.35
5806_ClarkGable_30_m.jpg,1,0.35,0.59,0.44,0.07,1,0.21,0.28
14549_AudreyHepburn_32_f.jpg,1,0.57,0.6,0.41,0.44,1,0.6,0.7
9755_TomJones_25_f.jpg,0,0.45,0.42,0.27,0.27,0,0.37,0.43
10707_MaggieSmith_47_f.jpg,0,0.26,0.33,0.27,0.09,0,0.15,0.28
1076_FlemingAlex_73_m.jpg,1,0.58,0.67,0.5,0.09,1,0.26,0.35
4893_RomanPolanski_37_m.jpg,0,0.23,0.47,0.41,0.4,0,0.55,0.4
14209_GeraldinePage_48_f.jpg,0,0.36,0.37,0.28,0.14,0,0.22,0.34
786_akistsoxatzopoulos_43_m.jpg,1,0.5,0.55,0.5,0.14,1,0.31,0.42
4664_JeffGoldblum_54_m.jpg,1,0.59,0.62,0.51,0.42,1,0.61,0.43
2472_ClaudeRich_52_m.jpg,0,0.49,0.47,0.43,0.21,0,0.36,0.39
10839_RaquelWelch_45_f.jpg,1,0.56,0.61,0.51,0.26,1,0.45,0.5
6242_DirkBogarde_40_m.jpg,0,0.32,0.38,0.32,0.12,0,0.21,0.57
16099_DannyGlover_70_m.jpg,1,0.35,0.59,0.46,0.48,1,0.65,0.42
2594_GeneWilder_66_m.jpg,1,0.33,0.62,0.57,0.17,1,0.37,0.31
7848_AnthonyQuayle_67_m.jpg,1,0.47,0.55,0.49,0.2,1,0.37,0.39
5690_RoyRogers_25_m.jpg,1,0.47,0.6,0.47,0.2,1,0.37,0.76
4902_RomanPolanski_47_m.jpg,0,0.39,0.44,0.38,0.4,0,0.54,0.61
13141_JaneWyman_31_f.jpg,1,0.45,0.61,0.48,0.36,1,0.55,0.37
5103_AnthonyHopkins_59_m.jpg,1,0.5,0.57,0.45,0.18,1,0.34,0.29
13467_GingerRogers_44_f.jpg,1,0.54,0.58,0.44,0.43,1,0.6,0.72
15291_DyanCannon_40_f.jpg,1,0.39,0.56,0.31,0.81,1,0.87,0.77
7545_RobertMorley_75_m.jpg,0,0.27,0.46,0.35,0.18,0,0.3,0.39
3186_DerekJacobi_68_m.jpg,1,0.58,0.56,0.5,0.12,1,0.29,0.43
402_SteveJobsb_47_m.jpg,1,0.51,0.57,0.39,0.31,1,0.47,0.51
1738_TimCurry_46_m.jpg,1,0.45,0.57,0.49,0.14,1,0.31,0.34
543_angelamerkel_55_f.jpg,1,0.48,0.58,0.4,0.11,1,0.25,0.31
8083_JohnForsythe_64_m.jpg,1,0.37,0.52,0.46,0.07,1,0.21,0.42
3424_KevinSpacey_38_m.jpg,1,0.59,0.59,0.47,0.03,1,0.17,0.46
8712_MurrayHamilton_63_m.jpg,0,0.46,0.36,0.32,0.21,0,0.31,0.32
5662_RayDanton_32_m.jpg,1,0.41,0.62,0.48,0.14,1,0.31,0.36
7314_LinoVentura_45_m.jpg,1,0.54,0.6,0.5,0.37,1,0.56,0.5
3765_RutgerHauer_46_m.jpg,0,0.17,0.46,0.38,0.32,0,0.46,0.43
6137_DanaAndrews_36_m.jpg,1,0.47,0.55,0.49,0.08,1,0.23,0.39
9916_AliMacGraw_29_f.jpg,0,0.26,0.27,0.21,0.36,0,0.42,0.24
526_AlKapone_30_m.jpg,1,0.42,0.56,0.41,0.0,1,0.11,0.3
3696_RingoStarr_38_m.jpg,1,0.59,0.57,0.49,0.54,1,0.71,0.29
4066_ClintWalker_43_m.jpg,1,0.43,0.51,0.45,0.25,1,0.41,0.36
1108_CharlesDarwin_55_m.jpg,1,0.32,0.61,0.37,0.33,1,0.49,0.32
4780_MichelPiccoli_86_m.jpg,1,0.54,0.51,0.55,0.16,1,0.34,0.36
9844_JudyDavis_45_f.jpg,1,0.46,0.57,0.41,0.04,1,0.16,0.45
10415_BarbaraBain_46_f.jpg,1,0.37,0.57,0.52,0.03,1,0.18,0.31
10989_EllenBurstyn_70_f.jpg,1,0.55,0.62,0.33,0.06,1,0.17,0.29
14096_RomySchneider_29_f.jpg,0,0.44,0.44,0.33,0.39,0,0.51,0.33
3049_BillNighy_52_m.jpg,1,0.4,0.56,0.47,0.23,1,0.4,0.37
7272_LeifErickson_24_m.jpg,1,0.46,0.58,0.45,0.19,1,0.36,0.4
6881_YvesMontand_36_m.jpg,1,0.31,0.57,0.5,0.39,1,0.57,0.42
12559_AlikiBoug_35_f.jpg,0,0.4,0.5,0.36,0.28,0,0.42,0.43
8805_AnthonyPerkins_47_m.jpg,1,0.61,0.57,0.46,0.44,1,0.61,0.45
10506_FayeDunaway_29_f.jpg,0,0.34,0.35,0.27,0.11,0,0.18,0.36
3495_MarisaPavan_31_m.jpg,0,0.32,0.5,0.43,0.12,0,0.26,0.52
8902_ChristopherEccleston_46_m.jpg,0,0.5,0.5,0.4,0.58,0,0.71,0.44
7239_JosephCotten_70_m.jpg,0,0.42,0.49,0.43,0.38,0,0.54,0.35
7616_TellySavalas_43_m.jpg,0,0.25,0.42,0.36,0.48,0,0.6,0.31
7033_DavidNiven_32_m.jpg,1,0.4,0.63,0.54,0.5,1,0.69,0.45
16426_Turner_46_f.jpg,0,0.33,0.38,0.31,0.47,0,0.57,0.48
6566_LeeJCobb_48_m.jpg,0,0.52,0.49,0.39,0.24,0,0.38,0.41
1648_BobDylan_20_m.jpg,0,0.34,0.4,0.31,0.5,0,0.6,0.26
203_ElvisPresley_15_m.jpg,1,0.51,0.56,0.42,0.43,1,0.59,0.31
9527_CHARLIERUGGLES_79_m.jpg,1,0.47,0.57,0.55,0.13,1,0.31,0.44
6337_JamesArness_30_m.jpg,1,0.36,0.55,0.43,0.34,1,0.51,0.28
10818_PeggyLipton_59_f.jpg,1,0.78,0.63,0.53,0.29,1,0.49,0.55
14134_SusannahYork_59_f.jpg,0,0.5,0.37,0.31,0.5,0,0.6,0.5
16045_MorganFreeman_35_m.jpg,1,0.39,0.51,0.22,0.1,1,0.18,0.29
10991_EllenBurstyn_18_f.jpg,1,0.38,0.53,0.42,0.24,1,0.4,0.57
11085_JodieFoster_13_f.jpg,1,0.47,0.54,0.41,0.5,1,0.65,0.58
11419_AnnetteBening_49_f.jpg,1,0.56,0.64,0.52,0.39,1,0.59,0.3
14925_MerkouriMelina_55_f.jpg,1,0.21,0.62,0.43,0.19,1,0.35,0.45
14772_ShelleyWinters_48_f.jpg,1,0.37,0.57,0.42,0.55,1,0.7,0.27
8765_AlecGuinness_63_m.jpg,1,0.58,0.62,0.47,0.43,1,0.61,0.48
13986_GloriaSwanson_42_f.jpg,0,0.37,0.47,0.37,0.32,0,0.46,0.29
3571_MichaelYork_36_m.jpg,1,0.54,0.58,0.49,0.28,1,0.46,0.45
13199_MichellePfeiffer_31_f.jpg,1,0.43,0.58,0.43,0.14,1,0.29,0.34
6978_CharlesBoyer_66_m.jpg,0,0.32,0.46,0.41,0.18,0,0.32,0.44
10340_AnitaEkberg_26_f.jpg,0,0.42,0.4,0.31,0.44,0,0.55,0.38
4861_RogerMoore_51_m.jpg,1,0.43,0.55,0.37,0.38,1,0.53,0.27
2255_RodTaylor_26_m.jpg,0,0.37,0.49,0.38,0.26,0,0.4,0.37
437_JohnDRockefeller_90_m.jpg,1,0.48,0.59,0.49,0.5,1,0.68,0.41
13262_ShirleyMacLaine_72_f.jpg,1,0.39,0.6,0.48,0.48,1,0.66,0.74
7379_LyleTalbot_41_m.jpg,1,0.31,0.59,0.52,0.25,1,0.44,0.67
7486_PeterMarkRichman_46_m.jpg,1,0.41,0.59,0.47,0.3,1,0.48,0.3
1586_IanHolm_72_m.jpg,1,0.38,0.54,0.5,0.15,1,0.32,0.43
13745_PatriciaNeal_68_f.jpg,1,0.46,0.56,0.45,0.65,1,0.79,0.62
11112_JuneLockhart_13_f.jpg,0,0.31,0.23,0.19,0.72,0,0.72,0.32
1489_GabrielGarciaMarquez_67_m.jpg,1,0.46,0.58,0.38,0.19,1,0.34,0.39
10292_MarietteHartley_47_f.jpg,1,0.36,0.56,0.47,0.28,1,0.46,0.46
15508_JeanetteMacDonald_51_f.jpg,1,0.48,0.61,0.49,0.1,1,0.26,0.33
10769_OrnellaMuti_33_f.jpg,0,0.35,0.47,0.38,0.37,0,0.51,0.37
9946_ElkeSommer_18_f.jpg,0,0.37,0.43,0.34,0.19,0,0.31,0.31
2032_JohnJames_33_m.jpg,1,0.5,0.6,0.48,0.31,1,0.49,0.77
11781_ValerieHarper_17_f.jpg,0,0.36,0.33,0.26,0.04,0,0.09,0.3
9480_MaximilianShell_49_m.jpg,1,0.52,0.51,0.46,0.12,1,0.27,0.35
12967_CatherineDeneuve_58_f.jpg,0,0.45,0.37,0.32,0.11,0,0.2,0.31
4116_DickVanDyke_80_m.jpg,0,0.41,0.45,0.44,0.46,0,0.61,0.42
1896_AlanYoung_88_m.jpg,0,0.55,0.47,0.48,0.1,0,0.24,0.32
4250_JeffreyJones_48_m.jpg,1,0.43,0.53,0.44,0.35,1,0.52,0.51
14450_PeggyAshcroft_27_f.jpg,0,0.54,0.43,0.34,0.18,0,0.3,0.48
11314_TanyaRoberts_32_f.jpg,1,0.39,0.57,0.45,0.3,1,0.47,0.42
14965_AmandaBlake_47_f.jpg,1,0.42,0.54,0.43,0.39,1,0.55,0.23
12363_MyrnaLoy_62_f.jpg,0,0.3,0.5,0.38,0.27,0,0.41,0.44
3366_JeffDaniels_43_m.jpg,1,0.42,0.53,0.43,0.52,1,0.67,0.35
7226_JosephCotten_72_m.jpg,1,0.5,0.6,0.51,0.22,1,0.41,0.44
14979_AnnJillian_27_f.jpg,0,0.38,0.34,0.26,0.15,0,0.22,0.44
15295_EdwigeFenech_21_f.jpg,0,0.36,0.45,0.35,0.08,0,0.18,0.28
5008_WarrenBeatty_53_m.jpg,1,0.38,0.56,0.46,0.29,1,0.46,0.58
11532_LaurenBacall_18_f.jpg,0,0.44,0.46,0.37,0.36,0,0.5,0.46
9023_HumphreyBogard_50_m.jpg,1,0.39,0.56,0.4,0.07,1,0.2,0.32
12590_DonnaReed_61_f.jpg,1,0.55,0.59,0.5,0.59,1,0.76,0.42
14898_KatharineHepburn_34_f.jpg,1,0.45,0.54,0.47,0.38,1,0.55,0.48
13402_CelesteHolm_90_f.jpg,1,0.32,0.64,0.66,0.53,1,0.75,0.52
12004_CybillShepherd_42_f.jpg,1,0.42,0.54,0.44,0.04,1,0.17,0.39
1905_EdwardFox_31_m.jpg,0,0.39,0.5,0.44,0.1,0,0.24,0.38
14534_AudreyHepburn_25_f.jpg,1,0.33,0.58,0.4,0.05,1,0.17,0.44
12088_EvaMarieSaint_23_f.jpg,0,0.41,0.47,0.39,0.02,0,0.12,0.5
6633_MelFerrer_48_m.jpg,1,0.38,0.58,0.52,0.54,1,0.72,0.29
8365_SimonMacCorkindale_45_m.jpg,1,0.45,0.52,0.42,0.2,1,0.35,0.32
3200_EliWallach_45_m.jpg,1,0.38,0.56,0.46,0.27,1,0.44,0.38
16336_Dee_89_f.jpg,0,0.42,0.46,0.29,0.33,0,0.44,0.48
2033_JohnJames_34_m.jpg,0,0.48,0.47,0.37,0.38,0,0.52,0.4
3922_TommySands_22_m.jpg,0,0.34,0.5,0.39,0.55,0,0.68,0.3
11998_CybillShepherd_34_f.jpg,1,0.5,0.58,0.48,0.36,1,0.54,0.57
8660_JohnCassavetes_28_m.jpg,0,0.39,0.45,0.34,0.11,0,0.22,0.38
653_TonyBlair_51_m.jpg,1,0.36,0.53,0.38,0.52,1,0.66,0.44
3232_GeneHackman_42_m.jpg,1,0.48,0.65,0.55,0.36,1,0.57,0.55
10190_JoanLeslie_87_f.jpg,0,0.42,0.5,0.49,0.0,0,0.12,0.55
9444_EdwardGRobinson_55_m.jpg,0,0.35,0.46,0.4,0.14,0,0.27,0.28
5042_AnthonyAndrews_60_m.jpg,1,0.57,0.65,0.47,0.34,1,0.53,0.5
6714_RexHarrison_32_m.jpg,1,0.39,0.59,0.52,0.31,1,0.5,0.28
5428_KennethBranagh_34_m.jpg,0,0.38,0.48,0.38,0.08,0,0.19,0.34
12743_JenniferAniston_29_f.jpg,1,0.48,0.54,0.4,0.26,1,0.41,0.33
452_BerryGordy_45_m.jpg,1,0.53,0.6,0.43,0.58,1,0.73,0.49
6460_JohnVernon_50_m.jpg,1,0.36,0.52,0.43,0.22,1,0.38,0.25
10146_JoanCusack_33_f.jpg,0,0.6,0.5,0.4,0.04,0,0.15,0.48
2706_KevinBacon_24_m.jpg,1,0.37,0.63,0.48,0.17,1,0.35,0.33
1939_EdwardFox_76_m.jpg,1,0.48,0.52,0.51,0.28,1,0.46,0.49
692_GeorgeHWBush_83_m.jpg,0,0.52,0.27,0.18,0.18,0,0.22,0.34
8762_AlecGuinness_50_m.jpg,1,0.46,0.54,0.42,0.43,1,0.59,0.33
5437_KennethBranagh_43_m.jpg,0,0.49,0.46,0.36,0.36,0,0.49,0.36
8937_ErnestBorgnine_84_m.jpg,1,0.6,0.58,0.59,0.5,1,0.7,0.71
7466_PeterMarkRichman_30_m.jpg,1,0.39,0.56,0.44,0.33,1,0.5,0.39
8517_CharlesBronson_21_m.jpg,0,0.42,0.45,0.29,0.17,0,0.27,0.31
198_JhonLenon_33_m.jpg,0,0.35,0.4,0.3,0.31,0,0.42,0.38
3265_IanMcKellen_29_m.jpg,1,0.57,0.54,0.42,0.32,1,0.48,0.43
16084_DannyGlover_43_m.jpg,0,0.39,0.46,0.39,0.0,0,0.09,0.33
8631_FrankSinatra_23_m.jpg,1,0.34,0.52,0.3,0.46,1,0.58,0.37
3442_KevinSpacey_54_m.jpg,1,0.59,0.62,0.53,0.15,1,0.34,0.35
16421_Turner_32_f.jpg,0,0.26,0.45,0.39,0.47,0,0.61,0.36
9816_JaneAsher_58_f.jpg,0,0.5,0.48,0.4,0.06,0,0.18,0.54
7862_ChristopherPlummer_37_m.jpg,1,0.45,0.51,0.44,0.12,1,0.26,0.47
15768_PamelaSueMartin_36_f.jpg,1,0.4,0.53,0.43,0.43,1,0.59,0.7
2035_JohnJames_36_m.jpg,1,0.61,0.63,0.5,0.38,1,0.57,0.4
16368_Dench_79_f.jpg,1,0.41,0.52,0.44,0.32,1,0.48,0.7
1333_AlbertCamus_43_m.jpg,1,0.4,0.62,0.48,0.22,1,0.4,0.31
1748_TimCurry_57_m.jpg,0,0.51,0.36,0.3,0.36,0,0.46,0.35
3127_ChuckNorris_64_m.jpg,1,0.41,0.54,0.48,0.32,1,0.5,0.26
11637_MaureenOHara_51_f.jpg,0,0.27,0.49,0.41,0.03,0,0.14,0.27
11145_JuneLockhart_86_f.jpg,1,0.5,0.57,0.56,0.72,1,0.87,0.74
13922_BettyGrable_25_f.jpg,1,0.43,0.62,0.46,0.3,1,0.48,0.19
12477_AnnaMassey_61_f.jpg,0,0.3,0.39,0.33,0.15,0,0.25,0.37
9299_BurtLancaster_47_m.jpg,1,0.29,0.61,0.46,0.14,1,0.3,0.32
4863_RogerMoore_39_m.jpg,1,0.49,0.58,0.41,0.38,1,0.54,0.66
15801_SarahDouglas_49_f.jpg,1,0.44,0.55,0.46,0.4,1,0.57,0.35
11892_BeaArthur_50_f.jpg,1,0.33,0.54,0.48,0.41,1,0.58,0.27
3409_KevinSpacey_27_m.jpg,1,0.36,0.58,0.44,0.39,1,0.56,0.44
7364_LouisJourdan_77_m.jpg,0,0.58,0.45,0.44,0.22,0,0.37,0.36
15928_VeronicaLake_27_f.jpg,0,0.31,0.49,0.37,0.0,0,0.09,0.32
3434_KevinSpacey_46_m.jpg,1,0.6,0.72,0.57,0.21,1,0.42,0.61
11167_LizaMinelli_53_f.jpg,1,0.53,0.62,0.5,0.5,1,0.68,0.39
2388_BillMurray_27_m.jpg,1,0.51,0.61,0.47,0.25,1,0.43,0.44
10672_LuiseRainer_26_f.jpg,0,0.2,0.41,0.3,0.08,0,0.16,0.33
13669_LilliPalmer_34_f.jpg,1,0.4,0.57,0.48,0.17,1,0.34,0.48
165_WaltDisney_32_m.jpg,1,0.54,0.61,0.43,0.3,1,0.47,0.57
6378_JamesCagney_36_m.jpg,1,0.59,0.61,0.53,0.26,1,0.46,0.29
7716_VincentPrice_37_m.jpg,1,0.48,0.55,0.47,0.37,1,0.55,0.37
14974_AnnJillian_11_f.jpg,0,0.54,0.41,0.32,0.15,0,0.25,0.35
5615_PeterFalk_62_m.jpg,0,0.43,0.41,0.37,0.27,0,0.4,0.32
13412_DanielleDarrieux_24_f.jpg,0,0.32,0.48,0.38,0.1,0,0.22,0.34
9409_Thanasisveggos_38_m.jpg,1,0.32,0.54,0.41,0.38,1,0.54,0.33
11853_BarbaraBouchet_32_f.jpg,0,0.46,0.34,0.28,0.15,0,0.23,0.46
8790_AnthonyPerkins_32_m.jpg,1,0.43,0.59,0.49,0.08,1,0.24,0.24
4219_HelmutBerger_30_m.jpg,1,0.53,0.52,0.39,0.46,1,0.61,0.44
14428_OliviadeHavilland_93_f.jpg,0,0.46,0.5,0.21,0.05,0,0.11,0.48
3174_DerekJacobi_53_m.jpg,1,0.49,0.61,0.53,0.06,1,0.23,0.28
367_DavidSarnoff_25_m.jpg,0,0.32,0.46,0.35,0.52,0,0.64,0.38
9460_EdwardGRobinson_72_m.jpg,1,0.5,0.58,0.54,0.07,1,0.24,0.41
13528_HelenHayes_17_f.jpg,0,0.28,0.27,0.2,0.1,0,0.14,0.26
12845_MaryTylerMoore_76_f.jpg,1,0.5,0.62,0.6,0.78,1,0.94,0.65
9504_CHARLIERUGGLES_45_m.jpg,0,0.37,0.45,0.42,0.43,0,0.58,0.56
13359_BetteDavis_42_f.jpg,1,0.39,0.6,0.47,0.07,1,0.22,0.39
6791_RowanAtkinson_45_m.jpg,1,0.53,0.63,0.46,0.38,1,0.56,0.3
12563_AlikiBoug_29_f.jpg,1,0.41,0.54,0.37,0.28,1,0.43,0.26
2385_AlainDelon_10_m.jpg,0,0.43,0.34,0.12,0.16,0,0.19,0.37
15099_BonnieHunt_44_f.jpg,1,0.55,0.66,0.52,0.76,1,0.91,0.44
14897_KatharineHepburn_21_f.jpg,0,0.31,0.49,0.39,0.35,0,0.5,0.44
10669_LuiseRainer_42_f.jpg,1,0.42,0.52,0.38,0.36,1,0.51,0.71
4073_ClintWalker_56_m.jpg,0,0.42,0.49,0.45,0.25,0,0.41,0.39
10613_LindaEvans_35_f.jpg,0,0.35,0.45,0.37,0.13,0,0.25,0.45
10957_DaliahLavi_60_f.jpg,1,0.48,0.52,0.44,0.41,1,0.57,0.53
10199_JulieAdams_39_f.jpg,1,0.37,0.51,0.46,0.12,1,0.27,0.37
8867_CharltonHeaston_45_m.jpg,1,0.37,0.51,0.4,0.1,1,0.23,0.36
14697_ElizabethTaylor_23_f.jpg,1,0.45,0.58,0.41,0.33,1,0.49,0.45
12139_FrancescaAnnis_30_f.jpg,1,0.46,0.55,0.42,0.1,1,0.24,0.38
1308_RitaLeviMontalcini_67_f.jpg,1,0.49,0.63,0.47,0.79,1,0.91,0.32
1522_YannisRitsos_70_m.jpg,0,0.38,0.46,0.39,0.15,0,0.28,0.31
956_Gaddafi_40_m.jpg,0,0.6,0.5,0.36,0.1,0,0.22,0.36
2656_JerryLewis_38_m.jpg,1,0.5,0.51,0.43,0.39,1,0.55,0.38
14858_BernadetteLafont_20_f.jpg,0,0.33,0.41,0.32,0.21,0,0.32,0.52
8284_RichardChamberlain_45_m.jpg,0,0.36,0.4,0.35,0.39,0,0.51,0.37
8564_CliffRobertson_73_m.jpg,1,0.4,0.54,0.45,0.11,1,0.26,0.33
1746_TimCurry_55_m.jpg,1,0.58,0.61,0.51,0.28,1,0.47,0.52
